"ndex","name","regional","type","type2","generation","isLegendary","isMythical","isUltraBeast","family","size","form","lbs","kg","lightest","heaveiest","MegaOrPrimal","ft","m","inch","smallest","bigest"
46,"Paras",NA,"Bug","Grass",1,FALSE,FALSE,FALSE,NA,NA,NA,11.9,5.4,188,994,NA,"1'00""",0.3,12,45,1157
47,"Parasect",NA,"Bug","Grass",1,FALSE,FALSE,FALSE,NA,NA,NA,65,29.5,574,608,NA,"3'03""",1,39,538,664
48,"Venonat",NA,"Bug","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,66.1,30,581,601,NA,"3'03""",1,39,539,663
49,"Venomoth",NA,"Bug","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,27.6,12.5,359,823,NA,"4'11""",1.5,59,822,380
50,"Diglett",NA,"Ground",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,1.8,0.8,34,1148,NA,"0'08""",0.2,8,9,1193
50,"Diglett","Alolan Form","Ground","Steel",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Dugtrio",NA,"Ground",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,73.4,33.3,626,556,NA,"2'04""",0.7,28,386,816
51,"Dugtrio","Alolan Form","Ground","Steel",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"Meowth",NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,9.3,4.2,157,1025,NA,"1'04""",0.4,16,125,1077
52,"Meowth","Alolan Form","Dark",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"Meowth","Galarian Form","Steel",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Persian",NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,70.5,32,607,575,NA,"3'03""",1,39,540,662
53,"Persian","Alolan Form","Dark",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"Psyduck",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,43.2,19.6,460,722,NA,"2'07""",0.8,31,441,761
55,"Golduck",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,168.9,76.6,881,301,NA,"5'07""",1.7,67,929,273
56,"Mankey",NA,"Fighting",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,61.7,28,552,630,NA,"1'08""",0.5,20,213,989
57,"Primeape",NA,"Fighting",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,70.5,32,608,574,NA,"3'03""",1,39,541,661
58,"Growlithe",NA,"Fire",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,41.9,19,449,733,NA,"2'04""",0.7,28,388,814
58,"Growlithe","Hisuian Form","Fire","Rock",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Arcanine",NA,"Fire",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,341.7,155,1042,140,NA,"6'03""",1.9,75,1002,200
59,"Arcanine","Hisuian Form","Fire","Rock",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Poliwag",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,27.3,12.4,358,824,NA,"2'00""",0.6,24,292,910
61,"Poliwhirl",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,44.1,20,467,715,NA,"3'03""",1,39,542,660
62,"Poliwrath",NA,"Water","Fighting",1,FALSE,FALSE,FALSE,NA,NA,NA,119,54,775,407,NA,"4'03""",1.3,51,733,469
63,"Abra",NA,"Psychic",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,43,19.5,455,727,NA,"2'11""",0.9,35,493,709
64,"Kadabra",NA,"Psychic",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,124.6,56.5,796,386,NA,"4'03""",1.3,51,734,468
65,"Alakazam",NA,"Psychic",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,105.8,48,742,440,NA,"4'11""",1.5,59,823,379
66,"Machop",NA,"Fighting",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,43,19.5,456,726,NA,"2'07""",0.8,31,443,759
67,"Machoke",NA,"Fighting",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,155.4,70.5,865,317,NA,"4'11""",1.5,59,824,378
68,"Machamp",NA,"Fighting",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,286.6,130,1017,165,NA,"5'03""",1.6,63,883,319
69,"Bellsprout",NA,"Grass","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,8.8,4,144,1038,NA,"2'04""",0.7,28,389,813
70,"Weepinbell",NA,"Grass","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,14.1,6.4,215,967,NA,"3'03""",1,39,543,659
71,"Victreebel",NA,"Grass","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,34.2,15.5,408,774,NA,"5'07""",1.7,67,930,272
72,"Tentacool",NA,"Water","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,100.3,45.5,732,450,NA,"2'11""",0.9,35,494,708
73,"Tentacruel",NA,"Water","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,121.3,55,781,401,NA,"5'03""",1.6,63,884,318
74,"Geodude",NA,"Rock","Ground",1,FALSE,FALSE,FALSE,NA,NA,NA,44.1,20,468,714,NA,"1'04""",0.4,16,128,1074
74,"Geodude","Alolan Form","Rock","Electric",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"Graveler",NA,"Rock","Ground",1,FALSE,FALSE,FALSE,NA,NA,NA,231.5,105,968,214,NA,"3'03""",1,39,544,658
75,"Graveler","Alolan Form","Rock","Electric",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"Golem",NA,"Rock","Ground",1,FALSE,FALSE,FALSE,NA,NA,NA,661.4,300,1113,69,NA,"4'07""",1.4,55,776,426
76,"Golem","Alolan Form","Rock","Electric",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"Ponyta",NA,"Fire",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,66.1,30,582,600,NA,"3'03""",1,39,546,656
77,"Ponyta","Galarian Form","Psychic",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"Rapidash",NA,"Fire",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,209.4,95,944,238,NA,"5'07""",1.7,67,932,270
78,"Rapidash","Galarian Form","Psychic","Fairy",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"Slowpoke",NA,"Water","Psychic",1,FALSE,FALSE,FALSE,NA,NA,NA,79.4,36,652,530,NA,"3'11""",1.2,47,659,543
79,"Slowpoke","Galarian Form","Psychic",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"Slowbro",NA,"Water","Psychic",1,FALSE,FALSE,FALSE,NA,NA,NA,173.1,78.5,886,296,NA,"5'03""",1.6,63,885,317
80,"Slowbro",NA,"Water","Psychic",1,FALSE,FALSE,FALSE,NA,NA,NA,264.6,120,998,184,"Mega","6'07""",2,79,1029,173
80,"Slowbro","Galarian Form","Poison","Psychic",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"Magnemite",NA,"Electric","Steel",1,FALSE,FALSE,FALSE,NA,NA,NA,13.2,6,204,978,NA,"1'00""",0.3,12,46,1156
82,"Magneton",NA,"Electric","Steel",1,FALSE,FALSE,FALSE,NA,NA,NA,132.3,60,814,368,NA,"3'03""",1,39,547,655
83,"Farfetch'd",NA,"Normal","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,33.1,15,394,788,NA,"2'07""",0.8,31,445,757
83,"Farfetch'd","Galarian Form","Fighting",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"Doduo",NA,"Normal","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,86.4,39.2,674,508,NA,"4'07""",1.4,55,777,425
85,"Dodrio",NA,"Normal","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,187.8,85.2,918,264,NA,"5'11""",1.8,71,964,238
86,"Seel",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,198.4,90,929,253,NA,"3'07""",1.1,43,616,586
87,"Dewgong",NA,"Water","Ice",1,FALSE,FALSE,FALSE,NA,NA,NA,264.6,120,997,185,NA,"5'07""",1.7,67,934,268
88,"Grimer",NA,"Poison",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,66.1,30,583,599,NA,"2'11""",0.9,35,495,707
88,"Grimer","Alolan Form","Poison","Dark",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"Muk",NA,"Poison",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,66.1,30,584,598,NA,"3'11""",1.2,47,661,541
89,"Muk","Alolan Form","Poison","Dark",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,"Shellder",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,8.8,4,145,1037,NA,"1'00""",0.3,12,47,1155
91,"Cloyster",NA,"Water","Ice",1,FALSE,FALSE,FALSE,NA,NA,NA,292.1,132.5,1021,161,NA,"4'11""",1.5,59,825,377
92,"Gastly",NA,"Ghost","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,0.2,0.1,1,1181,NA,"4'03""",1.3,51,735,467
93,"Haunter",NA,"Ghost","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,0.2,0.1,2,1180,NA,"5'03""",1.6,63,887,315
94,"Gengar",NA,"Ghost","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,89.3,40.5,698,484,NA,"4'11""",1.5,59,826,376
95,"Onix",NA,"Rock","Ground",1,FALSE,FALSE,FALSE,NA,NA,NA,463,210,1075,107,NA,"28'10""",8.8,346,1191,11
96,"Drowzee",NA,"Psychic",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,71.4,32.4,611,571,NA,"3'03""",1,39,549,653
97,"Hypno",NA,"Psychic",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,166.7,75.6,878,304,NA,"5'03""",1.6,63,888,314
98,"Krabby",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,14.3,6.5,217,965,NA,"1'04""",0.4,16,130,1072
99,"Kingler",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,132.3,60,815,367,NA,"4'03""",1.3,51,736,466
100,"Voltorb",NA,"Electric",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,22.9,10.4,317,865,NA,"1'08""",0.5,20,214,988
100,"Voltorb","Hisuian Form","Electric","Grass",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,"Electrode",NA,"Electric",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,146.8,66.6,853,329,NA,"3'11""",1.2,47,662,540
101,"Electrode","Hisuian Form","Electric","Grass",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,"Exeggcute",NA,"Grass","Psychic",1,FALSE,FALSE,FALSE,NA,NA,NA,5.5,2.5,98,1084,NA,"1'04""",0.4,16,131,1071
103,"Exeggutor",NA,"Grass","Psychic",1,FALSE,FALSE,FALSE,NA,NA,NA,264.6,120,999,183,NA,"6'07""",2,79,1030,172
103,"Exeggutor","Alolan Form","Grass","Dragon",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,"Cubone",NA,"Ground",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,14.3,6.5,218,964,NA,"1'04""",0.4,16,132,1070
105,"Marowak",NA,"Ground",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,99.2,45,727,455,NA,"3'03""",1,39,550,652
105,"Marowak","Alolan Form","Fire","Ghost",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Hitmonlee",NA,"Fighting",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,109.8,49.8,752,430,NA,"4'11""",1.5,59,827,375
107,"Hitmonchan",NA,"Fighting",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,110.7,50.2,755,427,NA,"4'07""",1.4,55,779,423
108,"Lickitung",NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,144.4,65.5,850,332,NA,"3'11""",1.2,47,664,538
109,"Koffing",NA,"Poison",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,2.2,1,38,1144,NA,"2'00""",0.6,24,293,909
110,"Weezing",NA,"Poison",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,20.9,9.5,297,885,NA,"3'11""",1.2,47,665,537
110,"Weezing","Galarian Form","Poison","Fairy",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,"Rhyhorn",NA,"Ground","Rock",1,FALSE,FALSE,FALSE,NA,NA,NA,253.5,115,992,190,NA,"3'03""",1,39,552,650
112,"Rhydon",NA,"Ground","Rock",1,FALSE,FALSE,FALSE,NA,NA,NA,264.6,120,1000,182,NA,"6'03""",1.9,75,1003,199
113,"Chansey",NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,76.3,34.6,641,541,NA,"3'07""",1.1,43,617,585
114,"Tangela",NA,"Grass",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,77.2,35,642,540,NA,"3'03""",1,39,553,649
115,"Kangaskhan",NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,176.4,80,894,288,NA,"7'03""",2.2,87,1074,128
115,"Kangaskhan",NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,220.5,100,956,226,"Mega","7'03""",2.2,87,1075,127
116,"Horsea",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,17.6,8,258,924,NA,"1'04""",0.4,16,133,1069
117,"Seadra",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,55.1,25,526,656,NA,"3'11""",1.2,47,666,536
118,"Goldeen",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,33.1,15,395,787,NA,"2'00""",0.6,24,294,908
119,"Seaking",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,86,39,670,512,NA,"4'03""",1.3,51,737,465
120,"Staryu",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,76.1,34.5,639,543,NA,"2'07""",0.8,31,447,755
121,"Starmie",NA,"Water","Psychic",1,FALSE,FALSE,FALSE,NA,NA,NA,176.4,80,895,287,NA,"3'07""",1.1,43,618,584
122,"Mr. Mime",NA,"Psychic","Fairy",1,FALSE,FALSE,FALSE,NA,NA,NA,120.2,54.5,778,404,NA,"4'03""",1.3,51,738,464
122,"Mr. Mime","Galarian Form","Ice","Psychic",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,"Scyther",NA,"Bug","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,123.5,56,792,390,NA,"4'11""",1.5,59,828,374
124,"Jynx",NA,"Ice","Psychic",1,FALSE,FALSE,FALSE,NA,NA,NA,89.5,40.6,701,481,NA,"4'07""",1.4,55,781,421
125,"Electabuzz",NA,"Electric",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,66.1,30,585,597,NA,"3'07""",1.1,43,619,583
126,"Magmar",NA,"Fire",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,98.1,44.5,724,458,NA,"4'03""",1.3,51,739,463
127,"Pinsir",NA,"Bug",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,121.3,55,782,400,NA,"4'11""",1.5,59,829,373
127,"Pinsir",NA,"Bug",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,130.1,59,809,373,"Mega","5'07""",1.7,67,936,266
128,"Tauros",NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,194.9,88.4,924,258,NA,"4'07""",1.4,55,782,420
128,"Tauros","Paldean Form","Fighting",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,"Tauros","Paldean Form","Fighting","Fire",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,"Tauros","Paldean Form","Fighting","Water",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,"Magikarp",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,22,10,309,873,NA,"2'11""",0.9,35,496,706
130,"Gyarados",NA,"Water","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,518.1,235,1095,87,NA,"21'04""",6.5,256,1183,19
130,"Gyarados",NA,"Water","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,672.4,305,1117,65,"Mega","21'04""",6.5,256,1184,18
131,"Lapras",NA,"Water","Ice",1,FALSE,FALSE,FALSE,NA,NA,NA,485,220,1085,97,NA,"8'02""",2.5,98,1103,99
132,"Ditto",NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,8.8,4,146,1036,NA,"1'00""",0.3,12,48,1154
133,"Eevee",NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,14.3,6.5,219,963,NA,"1'00""",0.3,12,49,1153
134,"Vaporeon",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,63.9,29,568,614,NA,"3'03""",1,39,554,648
135,"Jolteon",NA,"Electric",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,54,24.5,522,660,NA,"2'07""",0.8,31,448,754
136,"Flareon",NA,"Fire",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,55.1,25,527,655,NA,"2'11""",0.9,35,497,705
137,"Porygon",NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,80.5,36.5,656,526,NA,"2'07""",0.8,31,449,753
138,"Omanyte",NA,"Rock","Water",1,FALSE,FALSE,FALSE,NA,NA,NA,16.5,7.5,247,935,NA,"1'04""",0.4,16,134,1068
139,"Omastar",NA,"Rock","Water",1,FALSE,FALSE,FALSE,NA,NA,NA,77.2,35,643,539,NA,"3'03""",1,39,555,647
