"ndex","name","form","regional","type","type2","generation","isLegendary","isMythical","isUltraBeast","family","size","Japanese_Kana","Japanese_Hepburn","Japanese_Trademarked","German","French","Spanish","Italian","Korean_Hangul","Korean_Revised","Korean_McCune-Reischauer","Korean_Official","Chinese_Traditional","Chinese_Simplified","Chinese_Pinyin","Chinese_Yale","Chinese_Former_names","Brazilian_Portuguese","Turkish","Russian_Cyrillic","Russian_Romanization","Thai","Thai_RTGS","Hindi_Devanagari","Hindi_Transliteration","Hindi_Romanization"
14,"Kakuna",NA,NA,"Bug","Poison",1,FALSE,FALSE,FALSE,NA,NA,"コクーン","Kokūn","Cocoon","Kokuna","Coconfort",NA,NA,"딱충이","Ttakchungi","Ttakch'ungi","Ttakchungi","鐵殼蛹","铁壳蛹","Tiěkéyǒng","Tithokyúng","鐵殼昆 / 铁壳昆 Tiěkékūn (TW/CN)",NA,NA,"Какуна","Kakuna","โคคูน","Khokhun","ककूना","Kakūnā","Kakuna"
15,"Beedrill",NA,NA,"Bug","Poison",1,FALSE,FALSE,FALSE,NA,NA,"スピアー","Supiā","Spear","Bibor","Dardargnan",NA,NA,"독침붕","Dokchimbung","Tokch'imbung","Tokchimbung","大針蜂","大针蜂","Dàzhēnfēng","Daaihjāmfūng","-",NA,NA,"Бидрилл","Bidrill","สเปียร์","Sapia","बीड्रिल","Bīḍril","Beedrill"
16,"Pidgey",NA,NA,"Normal","Flying",1,FALSE,FALSE,FALSE,NA,NA,"ポッポ","Poppo","Poppo","Taubsi","Roucool",NA,NA,"구구","Gugu","Kugu","Gugu","波波","波波","Bōbō","Bōbō","-",NA,NA,"Пиджи","Pidzhi","ป็อปโปะ","Poppo","पिजी","Pijī","Pidgey"
17,"Pidgeotto",NA,NA,"Normal","Flying",1,FALSE,FALSE,FALSE,NA,NA,"ピジョン","Pijon","Pigeon[a]","Tauboga","Roucoups",NA,NA,"피죤","Pijyon","P'ijyon","Pijon","比比鳥","比比鸟","Bǐbǐniǎo","Béibéiníuh","-",NA,NA,"Пиджеотто","Pidzheotto","พีเจียน","Phichian","पिजियोटो","Pijiyoṭo","Pidgeotto"
18,"Pidgeot",NA,NA,"Normal","Flying",1,FALSE,FALSE,FALSE,NA,NA,"ピジョット","Pijotto","Pigeot[b]","Tauboss","Roucarnage",NA,NA,"피죤투","Pijyontu","P'ijyont'u","Pijontoo","大比鳥","大比鸟","Dàbǐniǎo","Daaihbéiníuh","比鵰 / 比雕 Bǐdiāo (TW/CN)",NA,NA,"Пиджеот","Pidzheot","พีเจียต","Phichiat","पिजिऑट","Pijiŏṭ","Pidgeot"
19,"Rattata",NA,"Alolan Form","Dark","Normal",1,FALSE,FALSE,FALSE,NA,NA,"コラッタ","Koratta","Koratta","Rattfratz","Rattata",NA,NA,"꼬렛","Kkoret","Kkoret","Koret","小拉達","小拉达","Xiǎolādá","Síulāaidaaht","小哥達 Síugōdaaht (HK)",NA,NA,"Раттата","Rattata","โครัตตา","Khoratta","रैटैटा","Raiṭaiṭā","Rattata"
19,"Rattata",NA,NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,"コラッタ","Koratta","Koratta","Rattfratz","Rattata",NA,NA,"꼬렛","Kkoret","Kkoret","Koret","小拉達","小拉达","Xiǎolādá","Síulāaidaaht","小哥達 Síugōdaaht (HK)",NA,NA,"Раттата","Rattata","โครัตตา","Khoratta","रैटैटा","Raiṭaiṭā","Rattata"
20,"Raticate",NA,"Alolan Form","Dark","Normal",1,FALSE,FALSE,FALSE,NA,NA,"ラッタ","Ratta","Ratta","Rattikarl","Rattatac",NA,NA,"레트라","Reteura","Ret'ŭra","Retra","拉達","拉达","Lādá","Lāaidaaht","哥達 Gōdaaht (HK)",NA,NA,"Ратикейт","Ratikeyt","รัตตา","Ratta","रैटिकेट","Raiṭikeṭ","Raticate"
20,"Raticate",NA,NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,"ラッタ","Ratta","Ratta","Rattikarl","Rattatac",NA,NA,"레트라","Reteura","Ret'ŭra","Retra","拉達","拉达","Lādá","Lāaidaaht","哥達 Gōdaaht (HK)",NA,NA,"Ратикейт","Ratikeyt","รัตตา","Ratta","रैटिकेट","Raiṭikeṭ","Raticate"
21,"Spearow",NA,NA,"Normal","Flying",1,FALSE,FALSE,FALSE,NA,NA,"オニスズメ","Onisuzume","Onisuzume","Habitak","Piafabec",NA,NA,"깨비참","Kkaebicham","Kkaebich'am","Kebicham","烈雀","烈雀","Lièquè","Lihtjéuk","鬼雀 Gwáijéuk (HK)",NA,NA,"Спироу","Spirou","โอนิสึซึเมะ","Onisuesueme","स्पीयरो","Spīyro","Spearow"
22,"Fearow",NA,NA,"Normal","Flying",1,FALSE,FALSE,FALSE,NA,NA,"オニドリル","Onidoriru","Onidrill","Ibitak","Rapasdepic",NA,NA,"깨비드릴조","Kkaebideuriljo","Kkaebidŭrilcho","Kebidrillzo","大嘴雀","大嘴雀","Dàzuǐquè","Daaihjéuijéuk","魔雀 Mōjéuk (HK)",NA,NA,"Фироу","Firou","โอนิดริล","Onitrin","फ़ियरो","Fiyro","Fearow"
23,"Ekans",NA,NA,"Poison",NA,1,FALSE,FALSE,FALSE,NA,NA,"アーボ","Ābo","Arbo","Rettan","Abo",NA,NA,"아보","Abo","Abo","Abo","阿柏蛇","阿柏蛇","Ābóshé","Apaaksèh","-",NA,NA,"Эканс","Ekans","อาร์โบ","Abo","ऐकंस","Aikans","Ekans"
24,"Arbok",NA,NA,"Poison",NA,1,FALSE,FALSE,FALSE,NA,NA,"アーボック","Ābokku","Arbok","Arbok","Arbok",NA,NA,"아보크","Abokeu","Abok'ŭ","Abok","阿柏怪","阿柏怪","Ābóguài","Apaakgwai","-",NA,NA,"Арбок","Arbok","อาร์บ็อก","Abok","आरबॉक","Ārbŏk","Arbok"
25,"Pikachu",NA,NA,"Electric",NA,1,FALSE,FALSE,FALSE,NA,NA,"ピカチュウ","Pikachū","Pikachu","Pikachu","Pikachu",NA,NA,"피카츄","Pikachyu","P'ik'ach'yu","Pikachu","皮卡丘","皮卡丘","Píkǎqiū","Pèihkāyāu[note 1]","比卡超 Béikāchīu (HK)",NA,NA,"Пикачу","Pikachu","พิคาชู","Phikhachu","पिकाचू","Pikācū","Pikachu"
26,"Raichu",NA,"Alolan Form","Electric","Psychic",1,FALSE,FALSE,FALSE,NA,NA,"ライチュウ","Raichū","Raichu","Raichu","Raichu",NA,NA,"라이츄","Raichyu","Raich'yu","Raichu","雷丘","雷丘","Léiqiū","Lèuihyāu","雷超 Lèuihchīu (HK)",NA,NA,"Райчу","Raychu","ไรชู","Raichu","राइचू","Rāicū","Raichu"
26,"Raichu",NA,NA,"Electric",NA,1,FALSE,FALSE,FALSE,NA,NA,"ライチュウ","Raichū","Raichu","Raichu","Raichu",NA,NA,"라이츄","Raichyu","Raich'yu","Raichu","雷丘","雷丘","Léiqiū","Lèuihyāu","雷超 Lèuihchīu (HK)",NA,NA,"Райчу","Raychu","ไรชู","Raichu","राइचू","Rāicū","Raichu"
27,"Sandshrew",NA,"Alolan Form","Ice","Steel",1,FALSE,FALSE,FALSE,NA,NA,"サンド","Sando","Sand","Sandan","Sabelette",NA,NA,"모래두지","Moraeduji","Moraeduji","Moreduji","穿山鼠","穿山鼠","Chuānshānshǔ","Chyūnsāansyú","-",NA,NA,"Сэндшрю","Sendshryu","แซนด์","Saen","सैंडश्रू","Saiṇḍaśrū","Sandshrew"
27,"Sandshrew",NA,NA,"Ground",NA,1,FALSE,FALSE,FALSE,NA,NA,"サンド","Sando","Sand","Sandan","Sabelette",NA,NA,"모래두지","Moraeduji","Moraeduji","Moreduji","穿山鼠","穿山鼠","Chuānshānshǔ","Chyūnsāansyú","-",NA,NA,"Сэндшрю","Sendshryu","แซนด์","Saen","सैंडश्रू","Saiṇḍaśrū","Sandshrew"
28,"Sandslash",NA,"Alolan Form","Ice","Steel",1,FALSE,FALSE,FALSE,NA,NA,"サンドパン","Sandopan","Sandpan","Sandamer","Sablaireau",NA,NA,"고지","Goji","Koji","Koji","穿山王","穿山王","Chuānshānwáng","Chyūnsāanwòhng","-",NA,NA,"Сэндслэш","Sendslesh","แซนด์แพน","Saenphaen","सैंडस्लैश","Saiṇḍaslaiś","Sandslash"
28,"Sandslash",NA,NA,"Ground",NA,1,FALSE,FALSE,FALSE,NA,NA,"サンドパン","Sandopan","Sandpan","Sandamer","Sablaireau",NA,NA,"고지","Goji","Koji","Koji","穿山王","穿山王","Chuānshānwáng","Chyūnsāanwòhng","-",NA,NA,"Сэндслэш","Sendslesh","แซนด์แพน","Saenphaen","सैंडस्लैश","Saiṇḍaslaiś","Sandslash"
29,"Nidoran♀",NA,NA,"Poison",NA,1,FALSE,FALSE,FALSE,NA,NA,"ニドラン♀","Nidoran Mesu","Nidoran♀","Nidoran♀","Nidoran♀",NA,NA,"니드런♀","Nideureonamkeot","Nidŭrŏnamk'ŏt","Nidoran♀","尼多蘭","尼多兰","Níduōlán","Nèihdōlàahn","尼美蘭 Nèihméihlàahn (HK)",NA,NA,"Нидоран♀","Nidoran♀","นิโดรัน♀","Nidoran Ying","नीडोरैन ♀","Nīḍorain ♀","Nidoran♀"
30,"Nidorina",NA,NA,"Poison",NA,1,FALSE,FALSE,FALSE,NA,NA,"ニドリーナ","Nidorīna","Nidorina[c]","Nidorina","Nidorina",NA,NA,"니드리나","Nideurina","Nidŭrina","Nidorina","尼多娜","尼多娜","Níduōnà","Nèihdōnàh","尼美蘿 Nèihméihlòh (HK)",NA,NA,"Нидорина","Nidorina","นิโดรินา","Nidorina","नीडोरिना","Nīḍorinā","Nidorina"
31,"Nidoqueen",NA,NA,"Poison","Ground",1,FALSE,FALSE,FALSE,NA,NA,"ニドクイン","Nidokuin","Nidoqueen","Nidoqueen","Nidoqueen",NA,NA,"니드퀸","Nideukwin","Nidŭk'win","Nidoqueen","尼多后","尼多后","Níduōhòu","Nèihdōhauh","尼美后 Nèihméihhauh (HK)",NA,NA,"Нидоквин","Nidokvin","นิโดควีน","Nidokhwin","नीडोक्वीन","Nīḍokvīn","Nidoqueen"
32,"Nidoran♂",NA,NA,"Poison",NA,1,FALSE,FALSE,FALSE,NA,NA,"ニドラン♂","Nidoran Osu","Nidoran♂","Nidoran♂","Nidoran♂",NA,NA,"니드런♂","Nideureonsukeot","Nidŭrŏnsuk'ŏt","Nidoran♂","尼多朗","尼多朗","Níduōláng","Nèihdōlóhng","尼多郎 Nèihdōlòhng (HK)",NA,NA,"Нидоран♂","Nidoran♂","นิโดรัน♂","Nidoran Chai","नीडोरैन♂","Nīḍorain♂","Nidoran♂"
33,"Nidorino",NA,NA,"Poison",NA,1,FALSE,FALSE,FALSE,NA,NA,"ニドリーノ","Nidorīno","Nidorino[d]","Nidorino","Nidorino",NA,NA,"니드리노","Nideurino","Nidŭrino","Nidorino","尼多力諾","尼多力诺","Níduōlìnuò","Nèihdōlihknohk","尼多利 Nèihdōleih (HK)",NA,NA,"Нидорино","Nidorino","นิโดริโน","Nidorino","नीडोरिनो","Nīḍorino","Nidorino"
34,"Nidoking",NA,NA,"Poison","Ground",1,FALSE,FALSE,FALSE,NA,NA,"ニドキング","Nidokingu","Nidoking","Nidoking","Nidoking",NA,NA,"니드킹","Nideuking","Nidŭk'ing","Nidoking","尼多王","尼多王","Níduōwáng","Nèihdōwòhng","-",NA,NA,"Нидокинг","Nidoking","นิโดคิง","Nidokhing","नीडोकिंग","Nīḍokiṅg","Nidoking"
35,"Clefairy",NA,NA,"Fairy",NA,1,FALSE,FALSE,FALSE,NA,NA,"ピッピ","Pippi","Pippi","Piepi","Mélofée",NA,NA,"삐삐","Ppippi","Ppippi","Ppippi","皮皮","皮皮","Pípí","Pèihpèih","-",NA,NA,"Клефэйри","Klefeyri","ปิปปี","Pippi","क्लफ़ेरी","Klaferī","Clefairy"
36,"Clefable",NA,NA,"Fairy",NA,1,FALSE,FALSE,FALSE,NA,NA,"ピクシー","Pikushī","Pixy[e]","Pixi","Mélodelfe",NA,NA,"픽시","Piksi","P'iksi","Pixy","皮可西","皮可西","Píkěxī","Pèihhósāi","皮可斯 Pèihhósī (HK)",NA,NA,"Клефейбл","Klefeybl","ปิคซี","Piksi","क्लफ़ेबल","Klafebal","Clefable"
37,"Vulpix",NA,"Alolan Form","Ice",NA,1,FALSE,FALSE,FALSE,NA,NA,"ロコン","Rokon","Rokon","Vulpix","Goupix",NA,NA,"식스테일","Sikseuteil","Siksŭt'eil","Sixtail","六尾","六尾","Liùwěi","Luhkméih","-",NA,NA,"Валпикс","Valpiks","โรคอน","Rokhon","वलपिक्स","Valpiks","Vulpix"
37,"Vulpix",NA,NA,"Fire",NA,1,FALSE,FALSE,FALSE,NA,NA,"ロコン","Rokon","Rokon","Vulpix","Goupix",NA,NA,"식스테일","Sikseuteil","Siksŭt'eil","Sixtail","六尾","六尾","Liùwěi","Luhkméih","-",NA,NA,"Валпикс","Valpiks","โรคอน","Rokhon","वलपिक्स","Valpiks","Vulpix"
38,"Ninetales",NA,"Alolan Form","Ice","Fairy",1,FALSE,FALSE,FALSE,NA,NA,"キュウコン","Kyūkon","Kyukon","Vulnona","Feunard",NA,NA,"나인테일","Nainteil","Naint'eil","Ninetail","九尾","九尾","Jiǔwěi","Gáuméih","-",NA,NA,"Найнтэйлс","Naynteyls","คิวคอน","Khiokhon","नाइनटेल्स","Nāinṭels","Ninetales"
38,"Ninetales",NA,NA,"Fire",NA,1,FALSE,FALSE,FALSE,NA,NA,"キュウコン","Kyūkon","Kyukon","Vulnona","Feunard",NA,NA,"나인테일","Nainteil","Naint'eil","Ninetail","九尾","九尾","Jiǔwěi","Gáuméih","-",NA,NA,"Найнтэйлс","Naynteyls","คิวคอน","Khiokhon","नाइनटेल्स","Nāinṭels","Ninetales"
39,"Jigglypuff",NA,NA,"Normal","Fairy",1,FALSE,FALSE,FALSE,NA,NA,"プリン","Purin","Purin","Pummeluff","Rondoudou",NA,NA,"푸린","Purin","P'urin","Purin","胖丁","胖丁","Pàngdīng","Buhndīng","波波球 Bōbōkàuh (HK)",NA,NA,"Джигглипафф","Dzhigglipaff","พูริน","Phurin","जिग्लीपफ़","Jiglīpaf","Jigglypuff"
40,"Wigglytuff",NA,NA,"Normal","Fairy",1,FALSE,FALSE,FALSE,NA,NA,"プクリン","Pukurin","Pukurin","Knuddeluff","Grodoudou",NA,NA,"푸크린","Pukeurin","P'ukŭrin","Pukurin","胖可丁","胖可丁","Pàngkědīng","Buhnhódīng","肥波球 Fèihbōkàuh (HK)",NA,NA,"Вигглитафф","Vigglitaff","พูคูริน","Phukhurin","विग्लीटफ़","Viglīṭaf","Wigglytuff"
41,"Zubat",NA,NA,"Poison","Flying",1,FALSE,FALSE,FALSE,NA,NA,"ズバット","Zubatto","Zubat","Zubat","Nosferapti",NA,NA,"주뱃","Jubaet","Chubaet","Zubat","超音蝠","超音蝠","Chāoyīnfú","Chīuyāmfūk","波音蝠 Bōyāmfūk (HK)",NA,NA,"Зубат","Zubat","ซูแบท","Subaet","ज़ूबैट","Zūbaiṭ","Zubat"
42,"Golbat",NA,NA,"Poison","Flying",1,FALSE,FALSE,FALSE,NA,NA,"ゴルバット","Gorubatto","Golbat","Golbat","Nosferalto",NA,NA,"골뱃","Golbaet","Kolbaet","Golbat","大嘴蝠","大嘴蝠","Dàzuǐfú","Daaihjéuifūk","大口蝠 Daaihháufūk (HK)",NA,NA,"Голбат","Golbat","โกลแบท","Kolabaet","गोलबैट","Golbaiṭ","Golbat"
43,"Oddish",NA,NA,"Grass","Poison",1,FALSE,FALSE,FALSE,NA,NA,"ナゾノクサ","Nazonokusa","Nazonokusa","Myrapla","Mystherbe",NA,NA,"뚜벅쵸","Ttubeokchyo","Ttubŏkch'yo","Ttubeogcho","走路草","走路草","Zǒulùcǎo","Jáulouhchóu","行路草 Hàahnglouhchóu (HK)",NA,NA,"Оддиш","Oddish","นาโซโนะคุสะ","Nasonokhusa","ऑडिश","Ŏḍiś","Oddish"
44,"Gloom",NA,NA,"Grass","Poison",1,FALSE,FALSE,FALSE,NA,NA,"クサイハナ","Kusaihana","Kusaihana","Duflor","Ortide",NA,NA,"냄새꼬","Naemsaekko","Naemsaekko","Naemsaeko","臭臭花","臭臭花","Chòuchòuhuā","Chauchaufā","怪味花 Gwaaimeihfā (HK)",NA,NA,"Глум","Glum","คุไซฮานะ","Khusaihana","ग्लूम","Glūm","Gloom"
45,"Vileplume",NA,NA,"Grass","Poison",1,FALSE,FALSE,FALSE,NA,NA,"ラフレシア","Rafureshia","Ruffresia[f]","Giflor","Rafflesia",NA,NA,"라플레시아","Rapeullesia","Rapŭllesia","Raplresia","霸王花","霸王花","Bàwánghuā","Bawòhngfā","-",NA,NA,"Вайлплюм","Vaylplyum","รัฟเฟรเซีย","Raffresia","वाइलप्लूम","Vāilplūm","Vileplume"
46,"Paras",NA,NA,"Bug","Grass",1,FALSE,FALSE,FALSE,NA,NA,"パラス","Parasu","Paras","Paras","Paras",NA,NA,"파라스","Paraseu","P'arasŭ","Paras","派拉斯","派拉斯","Pàilāsī","Pāailāaisī","蘑菇蟲 Mòhgūchùhng (HK)",NA,NA,"Парас","Paras","พารัส","Pharat","पैरस","Pairas","Paras"
47,"Parasect",NA,NA,"Bug","Grass",1,FALSE,FALSE,FALSE,NA,NA,"パラセクト","Parasekuto","Parasect","Parasek","Parasect",NA,NA,"파라섹트","Parasekteu","Parasekt'ŭ","Parasect","派拉斯特","派拉斯特","Pàilāsītè","Pāailāaisīdahk","巨菇蟲 Mòuhmòuhchùhng (HK)",NA,NA,"Парасект","Parasekt","พาราเซ็คท์","Pharasek","पैरासेक्ट","Pairāsekṭ","Parasect"
48,"Venonat",NA,NA,"Bug","Poison",1,FALSE,FALSE,FALSE,NA,NA,"コンパン","Konpan","Kongpang","Bluzuk","Mimitoss",NA,NA,"콘팡","Konpang","K'onp'ang","Konpan","毛球","毛球","Máoqiú","Mòuhkàuh","毛毛蟲 Mòuhmòuhchùhng (HK)",NA,NA,"Венонат","Venonat","คองปัง","Khongpang","वेनोनैट","Venonaiṭ","Venonat"
49,"Venomoth",NA,NA,"Bug","Poison",1,FALSE,FALSE,FALSE,NA,NA,"モルフォン","Morufon","Morphon","Omot","Aéromite",NA,NA,"도나리","Donari","Tonari","Donari","摩魯蛾","摩鲁蛾","Mólǔ'é","Mōlóuh'ngòh","末入蛾 Mòrù'é (TW/CN)魔魯風 Mōlóuhfūng (HK)",NA,NA,"Веномот","Venomot","มอร์ฟอน","Mofon","वेनोमॉथ","Venomŏth","Venomoth"
50,"Diglett",NA,"Alolan Form","Ground","Steel",1,FALSE,FALSE,FALSE,NA,NA,"ディグダ","Diguda","Digda","Digda","Taupiqueur",NA,NA,"디그다","Digeuda","Tigŭda","Digda","地鼠","地鼠","Dìshǔ","Deihsyú","-",NA,NA,"Диглетт","Diglett","ดิกดา","Dikda","डिगलेट","Ḍigleṭ","Diglett"
50,"Diglett",NA,NA,"Ground",NA,1,FALSE,FALSE,FALSE,NA,NA,"ディグダ","Diguda","Digda","Digda","Taupiqueur",NA,NA,"디그다","Digeuda","Tigŭda","Digda","地鼠","地鼠","Dìshǔ","Deihsyú","-",NA,NA,"Диглетт","Diglett","ดิกดา","Dikda","डिगलेट","Ḍigleṭ","Diglett"
51,"Dugtrio",NA,"Alolan Form","Ground","Steel",1,FALSE,FALSE,FALSE,NA,NA,"ダグトリオ","Dagutorio","Dugtrio","Digdri","Triopikeur",NA,NA,"닥트리오","Dakteurio","Takt'ŭrio","Daktrio","三地鼠","三地鼠","Sāndìshǔ","Sāamdeihsyú","三頭地鼠 Sāamtàuhdeihsyú (HK)",NA,NA,"Дагтрио","Dagtrio","ดักทริโอ","Dakthrio","डगट्रियो","Ḍagaṭriyo","Dugtrio"
51,"Dugtrio",NA,NA,"Ground",NA,1,FALSE,FALSE,FALSE,NA,NA,"ダグトリオ","Dagutorio","Dugtrio","Digdri","Triopikeur",NA,NA,"닥트리오","Dakteurio","Takt'ŭrio","Daktrio","三地鼠","三地鼠","Sāndìshǔ","Sāamdeihsyú","三頭地鼠 Sāamtàuhdeihsyú (HK)",NA,NA,"Дагтрио","Dagtrio","ดักทริโอ","Dakthrio","डगट्रियो","Ḍagaṭriyo","Dugtrio"
52,"Meowth",NA,"Alolan Form","Dark",NA,1,FALSE,FALSE,FALSE,NA,NA,"ニャース","Nyāsu","Nyarth[g]","Mauzi","Miaouss",NA,NA,"나옹","Naong","Naong","Naong","喵喵","喵喵","Miāomiāo","Mēumēu","喵喵怪 Mēumēugwaai (HK)",NA,NA,"Мяут","Myaut","เนียส","Niat","म्याउथ","Myāuth","Meowth"
52,"Meowth",NA,"Galarian Form","Steel",NA,1,FALSE,FALSE,FALSE,NA,NA,"ニャース","Nyāsu","Nyarth[g]","Mauzi","Miaouss",NA,NA,"나옹","Naong","Naong","Naong","喵喵","喵喵","Miāomiāo","Mēumēu","喵喵怪 Mēumēugwaai (HK)",NA,NA,"Мяут","Myaut","เนียส","Niat","म्याउथ","Myāuth","Meowth"
52,"Meowth",NA,NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,"ニャース","Nyāsu","Nyarth[g]","Mauzi","Miaouss",NA,NA,"나옹","Naong","Naong","Naong","喵喵","喵喵","Miāomiāo","Mēumēu","喵喵怪 Mēumēugwaai (HK)",NA,NA,"Мяут","Myaut","เนียส","Niat","म्याउथ","Myāuth","Meowth"
