ndex,name,form,regional,type,type2,generation,isLegendary,isMythical,isUltraBeast,family,size,NA_Kanto_Kdex,NA_Johto_Jdex,GenerationIII_Hoenn_Hdex,GenerationVI_Hoenn_Hdex,NA_Sinnoh_Sdex,BlackandWhite_Unova_Udex,Black2andWhite2_Unova_Udex,NA_Blueberry_BBdex,NA_Kalos_CeKdex,NA_Kalos_CoKdex,NA_Kalos_MoKdex,SunandMoon_Alola_Adex,SunandMoon_Alola_Melemele,SunandMoon_Alola_Akala,SunandMoon_Alola_Ula'ula,SunandMoon_Alola_Poni,UltraSunandUltraMoon_Alola_Adex,UltraSunandUltraMoon_Alola_Melemele,UltraSunandUltraMoon_Alola_Akala,UltraSunandUltraMoon_Alola_Ula'ula,UltraSunandUltraMoon_Alola_Poni,NA_Galar_Gdex,NA_IsleofArmor_IoAdex,NA_CrownTundra_CTdex,NA_Hisui_LAdex,NA_Paldea_Pdex,NA_Kitakami_Kdex
11,Metapod,NA,NA,Bug,NA,1,FALSE,FALSE,FALSE,NA,NA,11,25,213,NA,NA,NA,NA,NA,24,NA,NA,18,18,9,NA,NA,18,18,9,NA,NA,14,NA,NA,NA,NA,NA
12,Butterfree,NA,NA,Bug,Flying,1,FALSE,FALSE,FALSE,NA,NA,12,26,214,NA,NA,NA,NA,NA,25,NA,NA,19,19,10,NA,NA,19,19,10,NA,NA,15,NA,NA,NA,NA,NA
13,Weedle,NA,NA,Bug,Poison,1,FALSE,FALSE,FALSE,NA,NA,13,27,215,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Kakuna,NA,NA,Bug,Poison,1,FALSE,FALSE,FALSE,NA,NA,14,28,216,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Beedrill,NA,NA,Bug,Poison,1,FALSE,FALSE,FALSE,NA,NA,15,29,217,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Pidgey,NA,NA,Normal,Flying,1,FALSE,FALSE,FALSE,NA,NA,16,10,218,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Pidgeotto,NA,NA,Normal,Flying,1,FALSE,FALSE,FALSE,NA,NA,17,11,219,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Pidgeot,NA,NA,Normal,Flying,1,FALSE,FALSE,FALSE,NA,NA,18,12,220,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Rattata,NA,NA,Normal,NA,1,FALSE,FALSE,FALSE,NA,NA,19,17,221,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Rattata,NA,Alolan Form,Dark,Normal,1,FALSE,FALSE,FALSE,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,6,6,6,15,15,6,6,6,NA,NA,NA,NA,NA,NA
20,Raticate,NA,NA,Normal,NA,1,FALSE,FALSE,FALSE,NA,NA,20,18,222,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Raticate,NA,Alolan Form,Dark,Normal,1,FALSE,FALSE,FALSE,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,7,7,7,16,16,7,7,7,NA,NA,NA,NA,NA,NA
21,Spearow,NA,NA,Normal,Flying,1,FALSE,FALSE,FALSE,NA,NA,21,13,223,NA,NA,NA,NA,NA,NA,NA,109,73,73,NA,40,24,87,87,NA,40,33,NA,NA,NA,NA,NA,NA
22,Fearow,NA,NA,Normal,Flying,1,FALSE,FALSE,FALSE,NA,NA,22,14,224,NA,NA,NA,NA,NA,NA,NA,110,74,74,NA,41,25,88,88,NA,41,34,NA,NA,NA,NA,NA,NA
23,Ekans,NA,NA,Poison,NA,1,FALSE,FALSE,FALSE,NA,NA,23,50,225,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,61,61,NA,NA,NA,NA,NA,NA,NA,NA,18
24,Arbok,NA,NA,Poison,NA,1,FALSE,FALSE,FALSE,NA,NA,24,51,226,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,62,62,NA,NA,NA,NA,NA,NA,NA,NA,19
25,Pikachu,NA,NA,Electric,NA,1,FALSE,FALSE,FALSE,NA,NA,25,22,156,163,104,NA,NA,NA,36,NA,NA,25,25,NA,NA,NA,32,32,NA,NA,NA,194,85,NA,56,74,21
26,Raichu,NA,NA,Electric,NA,1,FALSE,FALSE,FALSE,NA,NA,26,23,157,164,105,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,86,NA,57,75,22
26,Raichu,NA,Alolan Form,Electric,Psychic,1,FALSE,FALSE,FALSE,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,NA,NA,NA,33,33,NA,NA,NA,195,86,NA,NA,NA,NA
27,Sandshrew,NA,NA,Ground,NA,1,FALSE,FALSE,FALSE,NA,NA,27,48,112,117,NA,NA,113,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,NA,NA,NA,116
27,Sandshrew,NA,Alolan Form,Ice,Steel,1,FALSE,FALSE,FALSE,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,123,NA,328,NA,NA,149,NA,NA,168,NA,NA,NA,NA
28,Sandslash,NA,NA,Ground,NA,1,FALSE,FALSE,FALSE,NA,NA,28,49,113,118,NA,NA,114,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,NA,NA,NA,117
28,Sandslash,NA,Alolan Form,Ice,Steel,1,FALSE,FALSE,FALSE,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,NA,NA,124,NA,329,NA,NA,150,NA,NA,169,NA,NA,NA,NA
29,Nidoran,NA,NA,Poison,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Nidorina,NA,NA,Poison,NA,1,FALSE,FALSE,FALSE,NA,NA,30,96,228,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA
31,Nidoqueen,NA,NA,Poison,Ground,1,FALSE,FALSE,FALSE,NA,NA,31,97,229,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA
32,Nidoran,NA,NA,Poison,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Nidorino,NA,NA,Poison,NA,1,FALSE,FALSE,FALSE,NA,NA,33,99,231,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA
34,Nidoking,NA,NA,Poison,Ground,1,FALSE,FALSE,FALSE,NA,NA,34,100,232,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA
35,Clefairy,NA,NA,Fairy,NA,1,FALSE,FALSE,FALSE,NA,NA,35,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,211,NA,NA,83,NA,273,NA,NA,94,NA,255,NA,44,200,NA,152
36,Clefable,NA,NA,Fairy,NA,1,FALSE,FALSE,FALSE,NA,NA,36,NA,NA,NA,101,NA,NA,NA,NA,NA,NA,212,NA,NA,84,NA,274,NA,NA,95,NA,256,NA,45,201,NA,153
37,Vulpix,NA,NA,Fire,NA,1,FALSE,FALSE,FALSE,NA,NA,37,127,153,160,NA,NA,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,168,NA,37
37,Vulpix,NA,Alolan Form,Ice,NA,1,FALSE,FALSE,FALSE,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,NA,NA,125,NA,330,NA,NA,151,NA,68,NA,NA,168,NA,NA
38,Ninetales,NA,NA,Fire,NA,1,FALSE,FALSE,FALSE,NA,NA,38,128,154,161,NA,NA,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,169,NA,38
38,Ninetales,NA,Alolan Form,Ice,Fairy,1,FALSE,FALSE,FALSE,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,NA,NA,126,NA,331,NA,NA,152,NA,69,NA,NA,169,NA,NA
39,Jigglypuff,NA,NA,Normal,Fairy,1,FALSE,FALSE,FALSE,NA,NA,39,NA,NA,143,NA,NA,NA,NA,NA,NA,120,135,NA,62,NA,NA,168,NA,69,NA,NA,NA,12,NA,NA,60,NA
40,Wigglytuff,NA,NA,Normal,Fairy,1,FALSE,FALSE,FALSE,NA,NA,40,NA,NA,144,NA,NA,NA,NA,NA,NA,121,136,NA,63,NA,NA,169,NA,70,NA,NA,NA,13,NA,NA,61,NA
41,Zubat,NA,NA,Poison,Flying,1,FALSE,FALSE,FALSE,NA,NA,41,37,63,65,28,NA,61,NA,145,NA,NA,68,68,26,35,19,80,80,26,35,26,NA,NA,144,34,NA,NA
42,Golbat,NA,NA,Poison,Flying,1,FALSE,FALSE,FALSE,NA,NA,42,38,64,66,29,NA,62,NA,146,NA,NA,69,69,27,36,20,81,81,27,36,27,NA,NA,145,35,NA,NA
43,Oddish,NA,NA,Grass,Poison,1,FALSE,FALSE,FALSE,NA,NA,43,83,88,91,NA,NA,NA,62,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA
44,Gloom,NA,NA,Grass,Poison,1,FALSE,FALSE,FALSE,NA,NA,44,84,89,92,NA,NA,NA,63,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA
45,Vileplume,NA,NA,Grass,Poison,1,FALSE,FALSE,FALSE,NA,NA,45,85,90,93,NA,NA,NA,64,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA
46,Paras,NA,NA,Bug,Grass,1,FALSE,FALSE,FALSE,NA,NA,46,70,235,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,74,66,NA,180,NA,81,72,NA,NA,NA,NA,53,NA,NA
47,Parasect,NA,NA,Bug,Grass,1,FALSE,FALSE,FALSE,NA,NA,47,71,236,NA,NA,NA,NA,NA,NA,NA,NA,148,NA,75,67,NA,181,NA,82,73,NA,NA,NA,NA,54,NA,NA
48,Venonat,NA,NA,Bug,Poison,1,FALSE,FALSE,FALSE,NA,NA,48,109,237,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,NA
49,Venomoth,NA,NA,Bug,Poison,1,FALSE,FALSE,FALSE,NA,NA,49,110,238,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,NA
50,Diglett,NA,NA,Ground,NA,1,FALSE,FALSE,FALSE,NA,NA,50,134,239,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,NA,NA,NA,148,NA
50,Diglett,NA,Alolan Form,Ground,Steel,1,FALSE,FALSE,FALSE,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,71,29,38,22,85,85,29,38,31,164,NA,NA,NA,NA,NA
51,Dugtrio,NA,NA,Ground,NA,1,FALSE,FALSE,FALSE,NA,NA,51,135,240,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,NA,NA,149,NA
51,Dugtrio,NA,Alolan Form,Ground,Steel,1,FALSE,FALSE,FALSE,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,72,30,39,23,86,86,30,39,32,165,NA,NA,NA,NA,NA
52,Meowth,NA,NA,Normal,NA,1,FALSE,FALSE,FALSE,NA,NA,52,138,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,NA,NA,NA,141,NA
52,Meowth,NA,Alolan Form,Dark,NA,1,FALSE,FALSE,FALSE,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,45,NA,23,NA,52,52,NA,23,NA,182,NA,NA,NA,NA,NA
52,Meowth,NA,Galarian Form,Steel,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,NA,NA,NA,NA,NA
53,Persian,NA,NA,Normal,NA,1,FALSE,FALSE,FALSE,NA,NA,53,139,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,NA,NA,NA,142,NA
53,Persian,NA,Alolan Form,Dark,NA,1,FALSE,FALSE,FALSE,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,46,NA,24,NA,53,53,NA,24,NA,184,NA,NA,NA,NA,NA
54,Psyduck,NA,NA,Water,NA,1,FALSE,FALSE,FALSE,NA,NA,54,140,158,165,43,NA,28,NA,59,NA,NA,89,89,32,49,39,107,107,32,52,51,NA,146,NA,68,55,NA
55,Golduck,NA,NA,Water,NA,1,FALSE,FALSE,FALSE,NA,NA,55,141,159,166,44,NA,29,NA,60,NA,NA,90,90,33,50,40,108,108,33,53,52,NA,147,NA,69,56,NA
56,Mankey,NA,NA,Fighting,NA,1,FALSE,FALSE,FALSE,NA,NA,56,136,243,NA,NA,NA,NA,NA,NA,NA,NA,79,79,NA,NA,30,93,93,NA,NA,39,NA,NA,NA,NA,158,99
57,Primeape,NA,NA,Fighting,NA,1,FALSE,FALSE,FALSE,NA,NA,57,137,244,NA,NA,NA,NA,NA,NA,NA,NA,80,80,NA,NA,31,94,94,NA,NA,40,NA,NA,NA,NA,159,100
58,Growlithe,NA,NA,Fire,NA,1,FALSE,FALSE,FALSE,NA,NA,58,129,245,NA,NA,NA,51,NA,NA,NA,NA,52,52,NA,NA,NA,64,64,NA,NA,NA,70,NA,NA,NA,213,78
58,Growlithe,NA,Hisuian Form,Fire,Rock,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA
59,Arcanine,NA,NA,Fire,NA,1,FALSE,FALSE,FALSE,NA,NA,59,130,246,NA,NA,NA,52,NA,NA,NA,NA,53,53,NA,NA,NA,65,65,NA,NA,NA,71,NA,NA,NA,214,79
59,Arcanine,NA,Hisuian Form,Fire,Rock,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,NA,NA
60,Poliwag,NA,NA,Water,NA,1,FALSE,FALSE,FALSE,NA,NA,60,72,247,NA,NA,NA,NA,NA,NA,NA,33,149,NA,76,68,NA,182,NA,83,74,NA,NA,142,NA,NA,NA,39
61,Poliwhirl,NA,NA,Water,NA,1,FALSE,FALSE,FALSE,NA,NA,61,73,248,NA,NA,NA,NA,NA,NA,NA,34,150,NA,77,69,NA,183,NA,84,75,NA,NA,143,NA,NA,NA,40
62,Poliwrath,NA,NA,Water,Fighting,1,FALSE,FALSE,FALSE,NA,NA,62,74,249,NA,NA,NA,NA,NA,NA,NA,35,151,NA,78,70,NA,184,NA,85,76,NA,NA,144,NA,NA,NA,41
63,Abra,NA,NA,Psychic,NA,1,FALSE,FALSE,FALSE,NA,NA,63,89,39,40,20,NA,NA,NA,102,NA,NA,42,42,NA,NA,NA,49,49,NA,NA,NA,NA,31,NA,58,NA,NA
64,Kadabra,NA,NA,Psychic,NA,1,FALSE,FALSE,FALSE,NA,NA,64,90,40,41,21,NA,NA,NA,103,NA,NA,43,43,NA,NA,NA,50,50,NA,NA,NA,NA,32,NA,59,NA,NA
65,Alakazam,NA,NA,Psychic,NA,1,FALSE,FALSE,FALSE,NA,NA,65,91,41,42,22,NA,NA,NA,104,NA,NA,44,44,NA,NA,NA,51,51,NA,NA,NA,NA,33,NA,60,NA,NA
66,Machop,NA,NA,Fighting,NA,1,FALSE,FALSE,FALSE,NA,NA,66,142,73,75,40,NA,NA,NA,NA,57,NA,95,95,NA,NA,45,117,117,NA,NA,57,138,NA,NA,154,NA,NA
67,Machoke,NA,NA,Fighting,NA,1,FALSE,FALSE,FALSE,NA,NA,67,143,74,76,41,NA,NA,NA,NA,58,NA,96,96,NA,NA,46,118,118,NA,NA,58,139,NA,NA,155,NA,NA
68,Machamp,NA,NA,Fighting,NA,1,FALSE,FALSE,FALSE,NA,NA,68,144,75,77,42,NA,NA,NA,NA,59,NA,97,97,NA,NA,47,119,119,NA,NA,59,140,NA,NA,156,NA,NA
69,Bellsprout,NA,NA,Grass,Poison,1,FALSE,FALSE,FALSE,NA,NA,69,64,250,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
70,Weepinbell,NA,NA,Grass,Poison,1,FALSE,FALSE,FALSE,NA,NA,70,65,251,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
71,Victreebel,NA,NA,Grass,Poison,1,FALSE,FALSE,FALSE,NA,NA,71,66,252,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
72,Tentacool,NA,NA,Water,Poison,1,FALSE,FALSE,FALSE,NA,NA,72,164,66,68,136,NA,NA,50,NA,25,NA,106,106,38,53,55,129,129,38,56,67,NA,40,NA,170,NA,NA
73,Tentacruel,NA,NA,Water,Poison,1,FALSE,FALSE,FALSE,NA,NA,73,165,67,69,137,NA,NA,51,NA,26,NA,107,107,39,54,56,130,130,39,57,68,NA,41,NA,171,NA,NA
74,Geodude,NA,NA,Rock,Ground,1,FALSE,FALSE,FALSE,NA,NA,74,34,57,58,31,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,80
74,Geodude,NA,Alolan Form,Rock,Electric,1,FALSE,FALSE,FALSE,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,NA,NA,101,NA,298,NA,NA,119,NA,NA,NA,NA,NA,NA,NA
75,Graveler,NA,NA,Rock,Ground,1,FALSE,FALSE,FALSE,NA,NA,75,35,58,59,32,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,81
75,Graveler,NA,Alolan Form,Rock,Electric,1,FALSE,FALSE,FALSE,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,NA,NA,102,NA,299,NA,NA,120,NA,NA,NA,NA,NA,NA,NA
76,Golem,NA,NA,Rock,Ground,1,FALSE,FALSE,FALSE,NA,NA,76,36,59,60,33,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,82
76,Golem,NA,Alolan Form,Rock,Electric,1,FALSE,FALSE,FALSE,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231,NA,NA,103,NA,300,NA,NA,121,NA,NA,NA,NA,NA,NA,NA
77,Ponyta,NA,NA,Fire,NA,1,FALSE,FALSE,FALSE,NA,NA,77,206,253,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,NA,105,23,NA,NA
77,Ponyta,NA,Galarian Form,Psychic,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,NA,105,NA,NA,NA
78,Rapidash,NA,NA,Fire,NA,1,FALSE,FALSE,FALSE,NA,NA,78,207,254,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,NA,106,24,NA,NA
78,Rapidash,NA,Galarian Form,Psychic,Fairy,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,NA,106,NA,NA,NA
79,Slowpoke,NA,NA,Water,Psychic,1,FALSE,FALSE,FALSE,NA,NA,79,80,255,NA,NA,NA,NA,NA,NA,133,NA,37,37,NA,18,NA,44,44,NA,18,NA,NA,1,NA,NA,324,NA
79,Slowpoke,NA,Galarian Form,Psychic,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
80,Slowbro,NA,NA,Water,Psychic,1,FALSE,FALSE,FALSE,NA,NA,80,81,256,NA,NA,NA,NA,NA,NA,134,NA,38,38,NA,19,NA,45,45,NA,19,NA,NA,2,NA,NA,325,NA
80,Slowbro,NA,Galarian Form,Poison,Psychic,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
81,Magnemite,NA,NA,Electric,Steel,1,FALSE,FALSE,FALSE,NA,NA,81,119,82,84,178,NA,48,116,NA,NA,69,47,47,NA,25,NA,54,54,NA,25,NA,NA,105,NA,177,209,NA
82,Magneton,NA,NA,Electric,Steel,1,FALSE,FALSE,FALSE,NA,NA,82,120,83,85,179,NA,49,117,NA,NA,70,48,48,NA,26,NA,55,55,NA,26,NA,NA,106,NA,178,210,NA
83,Farfetch,NA,NA,Normal,Flying,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,Farfetch,NA,NA,Fighting,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,Doduo,NA,NA,Normal,Flying,1,FALSE,FALSE,FALSE,NA,NA,84,204,92,95,NA,NA,NA,1,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Dodrio,NA,NA,Normal,Flying,1,FALSE,FALSE,FALSE,NA,NA,85,205,93,96,NA,NA,NA,2,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,Seel,NA,NA,Water,NA,1,FALSE,FALSE,FALSE,NA,NA,86,178,258,NA,NA,NA,265,143,NA,NA,NA,NA,NA,NA,NA,NA,115,115,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,Dewgong,NA,NA,Water,Ice,1,FALSE,FALSE,FALSE,NA,NA,87,179,259,NA,NA,NA,266,144,NA,NA,NA,NA,NA,NA,NA,NA,116,116,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,Grimer,NA,NA,Poison,NA,1,FALSE,FALSE,FALSE,NA,NA,88,117,106,111,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,NA
