"ndex","name","form","MegaOrPrimal","Mega","HP_I","HP_VI","HP_VII","HP_VIII","HP_IX","HP_II-V","Attack_I","Attack_VI","Attack_VII","Attack_VIII","Attack_IX","Attack_II-V","Defense_I","Defense_VI","Defense_VII","Defense_VIII","Defense_IX","Defense_II-V","Speed_I","Speed_VI","Speed_VII","Speed_VIII","Speed_IX","Speed_II-V","Special_I","Special_VI","Special_VII","Special_VIII","Special_IX","Special_II-V","Total_I","Total_VI","Total_VII","Total_VIII","Total_IX","Total_II-V","Average_I","Average_VI","Average_VII","Average_VIII","Average_IX","Average_II-V","SpAttack_I","SpAttack_VI","SpAttack_VII","SpAttack_VIII","SpAttack_IX","SpAttack_II-V","SpDefense_I","SpDefense_VI","SpDefense_VII","SpDefense_VIII","SpDefense_IX","SpDefense_II-V"
29,"Nidoran♀",NA,NA,NA,55,55,55,55,55,55,47,47,47,47,47,47,52,52,52,52,52,52,41,41,41,41,41,41,40,NA,NA,NA,NA,NA,235,275,275,275,275,275,47,45.83,45.83,45.83,45.83,45.83,NA,40,40,40,40,40,NA,40,40,40,40,40
30,"Nidorina",NA,NA,NA,70,70,70,70,70,70,62,62,62,62,62,62,67,67,67,67,67,67,56,56,56,56,56,56,55,NA,NA,NA,NA,NA,310,365,365,365,365,365,62,60.83,60.83,60.83,60.83,60.83,NA,55,55,55,55,55,NA,55,55,55,55,55
31,"Nidoqueen",NA,NA,NA,90,90,90,90,90,90,82,92,92,92,92,82,87,87,87,87,87,87,76,76,76,76,76,76,75,NA,NA,NA,NA,NA,410,505,505,505,505,495,82,84.17,84.17,84.17,84.17,82.5,NA,75,75,75,75,75,NA,85,85,85,85,85
32,"Nidoran♂",NA,NA,NA,46,46,46,46,46,46,57,57,57,57,57,57,40,40,40,40,40,40,50,50,50,50,50,50,40,NA,NA,NA,NA,NA,233,273,273,273,273,273,46.6,45.5,45.5,45.5,45.5,45.5,NA,40,40,40,40,40,NA,40,40,40,40,40
33,"Nidorino",NA,NA,NA,61,61,61,61,61,61,72,72,72,72,72,72,57,57,57,57,57,57,65,65,65,65,65,65,55,NA,NA,NA,NA,NA,310,365,365,365,365,365,62,60.83,60.83,60.83,60.83,60.83,NA,55,55,55,55,55,NA,55,55,55,55,55
34,"Nidoking",NA,NA,NA,81,81,81,81,81,81,92,102,102,102,102,92,77,77,77,77,77,77,85,85,85,85,85,85,75,NA,NA,NA,NA,NA,410,505,505,505,505,495,82,84.17,84.17,84.17,84.17,82.5,NA,85,85,85,85,85,NA,75,75,75,75,75
35,"Clefairy",NA,NA,NA,70,70,70,70,70,70,45,45,45,45,45,45,48,48,48,48,48,48,35,35,35,35,35,35,60,NA,NA,NA,NA,NA,258,323,323,323,323,323,51.6,53.83,53.83,53.83,53.83,53.83,NA,60,60,60,60,60,NA,65,65,65,65,65
36,"Clefable",NA,NA,NA,95,95,95,95,95,95,70,70,70,70,70,70,73,73,73,73,73,73,60,60,60,60,60,60,85,NA,NA,NA,NA,NA,383,483,483,483,483,473,76.6,80.5,80.5,80.5,80.5,78.83,NA,95,95,95,95,85,NA,90,90,90,90,90
37,"Vulpix",NA,NA,NA,38,38,38,38,38,38,41,41,41,41,41,41,40,40,40,40,40,40,65,65,65,65,65,65,65,NA,NA,NA,NA,NA,249,299,299,299,299,299,49.8,49.83,49.83,49.83,49.83,49.83,NA,50,50,50,50,50,NA,65,65,65,65,65
38,"Ninetales",NA,NA,NA,73,73,73,73,73,73,76,76,76,76,76,76,75,75,75,75,75,75,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,424,505,505,505,505,505,84.8,84.17,84.17,84.17,84.17,84.17,NA,81,81,81,81,81,NA,100,100,100,100,100
39,"Jigglypuff",NA,NA,NA,115,115,115,115,115,115,45,45,45,45,45,45,20,20,20,20,20,20,20,20,20,20,20,20,25,NA,NA,NA,NA,NA,225,270,270,270,270,270,45,45,45,45,45,45,NA,45,45,45,45,45,NA,25,25,25,25,25
40,"Wigglytuff",NA,NA,NA,140,140,140,140,140,140,70,70,70,70,70,70,45,45,45,45,45,45,45,45,45,45,45,45,50,NA,NA,NA,NA,NA,350,435,435,435,435,425,70,72.5,72.5,72.5,72.5,70.83,NA,85,85,85,85,75,NA,50,50,50,50,50
41,"Zubat",NA,NA,NA,40,40,40,40,40,40,45,45,45,45,45,45,35,35,35,35,35,35,55,55,55,55,55,55,40,NA,NA,NA,NA,NA,215,245,245,245,245,245,43,40.83,40.83,40.83,40.83,40.83,NA,30,30,30,30,30,NA,40,40,40,40,40
42,"Golbat",NA,NA,NA,75,75,75,75,75,75,80,80,80,80,80,80,70,70,70,70,70,70,90,90,90,90,90,90,75,NA,NA,NA,NA,NA,390,455,455,455,455,455,78,75.83,75.83,75.83,75.83,75.83,NA,65,65,65,65,65,NA,75,75,75,75,75
43,"Oddish",NA,NA,NA,45,45,45,45,45,45,50,50,50,50,50,50,55,55,55,55,55,55,30,30,30,30,30,30,75,NA,NA,NA,NA,NA,255,320,320,320,320,320,51,53.33,53.33,53.33,53.33,53.33,NA,75,75,75,75,75,NA,65,65,65,65,65
44,"Gloom",NA,NA,NA,60,60,60,60,60,60,65,65,65,65,65,65,70,70,70,70,70,70,40,40,40,40,40,40,85,NA,NA,NA,NA,NA,320,395,395,395,395,395,64,65.83,65.83,65.83,65.83,65.83,NA,85,85,85,85,85,NA,75,75,75,75,75
45,"Vileplume",NA,NA,NA,75,75,75,75,75,75,80,80,80,80,80,80,85,85,85,85,85,85,50,50,50,50,50,50,100,NA,NA,NA,NA,NA,390,490,490,490,490,480,78,81.67,81.67,81.67,81.67,80,NA,110,110,110,110,100,NA,90,90,90,90,90
46,"Paras",NA,NA,NA,35,35,35,35,35,35,70,70,70,70,70,70,55,55,55,55,55,55,25,25,25,25,25,25,55,NA,NA,NA,NA,NA,240,285,285,285,285,285,48,47.5,47.5,47.5,47.5,47.5,NA,45,45,45,45,45,NA,55,55,55,55,55
47,"Parasect",NA,NA,NA,60,60,60,60,60,60,95,95,95,95,95,95,80,80,80,80,80,80,30,30,30,30,30,30,80,NA,NA,NA,NA,NA,345,405,405,405,405,405,69,67.5,67.5,67.5,67.5,67.5,NA,60,60,60,60,60,NA,80,80,80,80,80
48,"Venonat",NA,NA,NA,60,60,60,60,60,60,55,55,55,55,55,55,50,50,50,50,50,50,45,45,45,45,45,45,40,NA,NA,NA,NA,NA,250,305,305,305,305,305,50,50.83,50.83,50.83,50.83,50.83,NA,40,40,40,40,40,NA,55,55,55,55,55
49,"Venomoth",NA,NA,NA,70,70,70,70,70,70,65,65,65,65,65,65,60,60,60,60,60,60,90,90,90,90,90,90,90,NA,NA,NA,NA,NA,375,450,450,450,450,450,75,75,75,75,75,75,NA,90,90,90,90,90,NA,75,75,75,75,75
50,"Diglett",NA,NA,NA,10,10,10,10,10,10,55,55,55,55,55,55,25,25,25,25,25,25,95,95,95,95,95,95,45,NA,NA,NA,NA,NA,230,265,265,265,265,265,46,44.17,44.17,44.17,44.17,44.17,NA,35,35,35,35,35,NA,45,45,45,45,45
51,"Dugtrio",NA,NA,NA,35,35,35,35,35,35,80,80,100,100,100,80,50,50,50,50,50,50,120,120,120,120,120,120,70,NA,NA,NA,NA,NA,355,405,425,425,425,405,71,67.5,70.83,70.83,70.83,67.5,NA,50,50,50,50,50,NA,70,70,70,70,70
52,"Meowth",NA,NA,NA,40,40,40,40,40,40,45,45,45,45,45,45,35,35,35,35,35,35,90,90,90,90,90,90,40,NA,NA,NA,NA,NA,250,290,290,290,290,290,50,48.33,48.33,48.33,48.33,48.33,NA,40,40,40,40,40,NA,40,40,40,40,40
53,"Persian",NA,NA,NA,65,65,65,65,65,65,70,70,70,70,70,70,60,60,60,60,60,60,115,115,115,115,115,115,65,NA,NA,NA,NA,NA,375,440,440,440,440,440,75,73.33,73.33,73.33,73.33,73.33,NA,65,65,65,65,65,NA,65,65,65,65,65
54,"Psyduck",NA,NA,NA,50,50,50,50,50,50,52,52,52,52,52,52,48,48,48,48,48,48,55,55,55,55,55,55,50,NA,NA,NA,NA,NA,255,320,320,320,320,320,51,53.33,53.33,53.33,53.33,53.33,NA,65,65,65,65,65,NA,50,50,50,50,50
55,"Golduck",NA,NA,NA,80,80,80,80,80,80,82,82,82,82,82,82,78,78,78,78,78,78,85,85,85,85,85,85,80,NA,NA,NA,NA,NA,405,500,500,500,500,500,81,83.33,83.33,83.33,83.33,83.33,NA,95,95,95,95,95,NA,80,80,80,80,80
56,"Mankey",NA,NA,NA,40,40,40,40,40,40,80,80,80,80,80,80,35,35,35,35,35,35,70,70,70,70,70,70,35,NA,NA,NA,NA,NA,260,305,305,305,305,305,52,50.83,50.83,50.83,50.83,50.83,NA,35,35,35,35,35,NA,45,45,45,45,45
57,"Primeape",NA,NA,NA,65,65,65,65,65,65,105,105,105,105,105,105,60,60,60,60,60,60,95,95,95,95,95,95,60,NA,NA,NA,NA,NA,385,455,455,455,455,455,77,75.83,75.83,75.83,75.83,75.83,NA,60,60,60,60,60,NA,70,70,70,70,70
58,"Growlithe",NA,NA,NA,55,55,55,55,55,55,70,70,70,70,70,70,45,45,45,45,45,45,60,60,60,60,60,60,50,NA,NA,NA,NA,NA,280,350,350,350,350,350,56,58.33,58.33,58.33,58.33,58.33,NA,70,70,70,70,70,NA,50,50,50,50,50
59,"Arcanine",NA,NA,NA,90,90,90,90,90,90,110,110,110,110,110,110,80,80,80,80,80,80,95,95,95,95,95,95,80,NA,NA,NA,NA,NA,455,555,555,555,555,555,91,92.5,92.5,92.5,92.5,92.5,NA,100,100,100,100,100,NA,80,80,80,80,80
60,"Poliwag",NA,NA,NA,40,40,40,40,40,40,50,50,50,50,50,50,40,40,40,40,40,40,90,90,90,90,90,90,40,NA,NA,NA,NA,NA,260,300,300,300,300,300,52,50,50,50,50,50,NA,40,40,40,40,40,NA,40,40,40,40,40
61,"Poliwhirl",NA,NA,NA,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,90,90,90,90,90,90,50,NA,NA,NA,NA,NA,335,385,385,385,385,385,67,64.17,64.17,64.17,64.17,64.17,NA,50,50,50,50,50,NA,50,50,50,50,50
62,"Poliwrath",NA,NA,NA,90,90,90,90,90,90,85,95,95,95,95,85,95,95,95,95,95,95,70,70,70,70,70,70,70,NA,NA,NA,NA,NA,410,510,510,510,510,500,82,85,85,85,85,83.33,NA,70,70,70,70,70,NA,90,90,90,90,90
63,"Abra",NA,NA,NA,25,25,25,25,25,25,20,20,20,20,20,20,15,15,15,15,15,15,90,90,90,90,90,90,105,NA,NA,NA,NA,NA,255,310,310,310,310,310,51,51.67,51.67,51.67,51.67,51.67,NA,105,105,105,105,105,NA,55,55,55,55,55
64,"Kadabra",NA,NA,NA,40,40,40,40,40,40,35,35,35,35,35,35,30,30,30,30,30,30,105,105,105,105,105,105,120,NA,NA,NA,NA,NA,330,400,400,400,400,400,66,66.67,66.67,66.67,66.67,66.67,NA,120,120,120,120,120,NA,70,70,70,70,70
65,"Alakazam",NA,NA,NA,55,55,55,55,55,55,50,50,50,50,50,50,45,45,45,45,45,45,120,120,120,120,120,120,135,NA,NA,NA,NA,NA,405,500,500,500,500,490,81,83.33,83.33,83.33,83.33,81.67,NA,135,135,135,135,135,NA,95,95,95,95,85
66,"Machop",NA,NA,NA,70,70,70,70,70,70,80,80,80,80,80,80,50,50,50,50,50,50,35,35,35,35,35,35,35,NA,NA,NA,NA,NA,270,305,305,305,305,305,54,50.83,50.83,50.83,50.83,50.83,NA,35,35,35,35,35,NA,35,35,35,35,35
67,"Machoke",NA,NA,NA,80,80,80,80,80,80,100,100,100,100,100,100,70,70,70,70,70,70,45,45,45,45,45,45,50,NA,NA,NA,NA,NA,345,405,405,405,405,405,69,67.5,67.5,67.5,67.5,67.5,NA,50,50,50,50,50,NA,60,60,60,60,60
68,"Machamp",NA,NA,NA,90,90,90,90,90,90,130,130,130,130,130,130,80,80,80,80,80,80,55,55,55,55,55,55,65,NA,NA,NA,NA,NA,420,505,505,505,505,505,84,84.17,84.17,84.17,84.17,84.17,NA,65,65,65,65,65,NA,85,85,85,85,85
69,"Bellsprout",NA,NA,NA,50,50,50,50,50,50,75,75,75,75,75,75,35,35,35,35,35,35,40,40,40,40,40,40,70,NA,NA,NA,NA,NA,270,300,300,300,300,300,54,50,50,50,50,50,NA,70,70,70,70,70,NA,30,30,30,30,30
70,"Weepinbell",NA,NA,NA,65,65,65,65,65,65,90,90,90,90,90,90,50,50,50,50,50,50,55,55,55,55,55,55,85,NA,NA,NA,NA,NA,345,390,390,390,390,390,69,65,65,65,65,65,NA,85,85,85,85,85,NA,45,45,45,45,45
71,"Victreebel",NA,NA,NA,80,80,80,80,80,80,105,105,105,105,105,105,65,65,65,65,65,65,70,70,70,70,70,70,100,NA,NA,NA,NA,NA,420,490,490,490,490,480,84,81.67,81.67,81.67,81.67,80,NA,100,100,100,100,100,NA,70,70,70,70,60
72,"Tentacool",NA,NA,NA,40,40,40,40,40,40,40,40,40,40,40,40,35,35,35,35,35,35,70,70,70,70,70,70,100,NA,NA,NA,NA,NA,285,335,335,335,335,335,57,55.83,55.83,55.83,55.83,55.83,NA,50,50,50,50,50,NA,100,100,100,100,100
73,"Tentacruel",NA,NA,NA,80,80,80,80,80,80,70,70,70,70,70,70,65,65,65,65,65,65,100,100,100,100,100,100,120,NA,NA,NA,NA,NA,435,515,515,515,515,515,87,85.83,85.83,85.83,85.83,85.83,NA,80,80,80,80,80,NA,120,120,120,120,120
74,"Geodude",NA,NA,NA,40,40,40,40,40,40,80,80,80,80,80,80,100,100,100,100,100,100,20,20,20,20,20,20,30,NA,NA,NA,NA,NA,270,300,300,300,300,300,54,50,50,50,50,50,NA,30,30,30,30,30,NA,30,30,30,30,30
75,"Graveler",NA,NA,NA,55,55,55,55,55,55,95,95,95,95,95,95,115,115,115,115,115,115,35,35,35,35,35,35,45,NA,NA,NA,NA,NA,345,390,390,390,390,390,69,65,65,65,65,65,NA,45,45,45,45,45,NA,45,45,45,45,45
76,"Golem",NA,NA,NA,80,80,80,80,80,80,110,120,120,120,120,110,130,130,130,130,130,130,45,45,45,45,45,45,55,NA,NA,NA,NA,NA,420,495,495,495,495,485,84,82.5,82.5,82.5,82.5,80.83,NA,55,55,55,55,55,NA,65,65,65,65,65
77,"Ponyta",NA,NA,NA,50,50,50,50,50,50,85,85,85,85,85,85,55,55,55,55,55,55,90,90,90,90,90,90,65,NA,NA,NA,NA,NA,345,410,410,410,410,410,69,68.33,68.33,68.33,68.33,68.33,NA,65,65,65,65,65,NA,65,65,65,65,65
78,"Rapidash",NA,NA,NA,65,65,65,65,65,65,100,100,100,100,100,100,70,70,70,70,70,70,105,105,105,105,105,105,80,NA,NA,NA,NA,NA,420,500,500,500,500,500,84,83.33,83.33,83.33,83.33,83.33,NA,80,80,80,80,80,NA,80,80,80,80,80
79,"Slowpoke",NA,NA,NA,90,90,90,90,90,90,65,65,65,65,65,65,65,65,65,65,65,65,15,15,15,15,15,15,40,NA,NA,NA,NA,NA,275,315,315,315,315,315,55,52.5,52.5,52.5,52.5,52.5,NA,40,40,40,40,40,NA,40,40,40,40,40
80,"Slowbro",NA,NA,NA,95,95,95,95,95,95,75,75,75,75,75,75,110,110,110,110,110,110,30,30,30,30,30,30,80,NA,NA,NA,NA,NA,390,490,490,490,490,490,78,81.67,81.67,81.67,81.67,81.67,NA,100,100,100,100,100,NA,80,80,80,80,80
81,"Magnemite",NA,NA,NA,25,25,25,25,25,25,35,35,35,35,35,35,70,70,70,70,70,70,45,45,45,45,45,45,95,NA,NA,NA,NA,NA,270,325,325,325,325,325,54,54.17,54.17,54.17,54.17,54.17,NA,95,95,95,95,95,NA,55,55,55,55,55
82,"Magneton",NA,NA,NA,50,50,50,50,50,50,60,60,60,60,60,60,95,95,95,95,95,95,70,70,70,70,70,70,120,NA,NA,NA,NA,NA,395,465,465,465,465,465,79,77.5,77.5,77.5,77.5,77.5,NA,120,120,120,120,120,NA,70,70,70,70,70
83,"Farfetch'd",NA,NA,NA,52,52,52,52,52,52,65,65,90,90,90,65,55,55,55,55,55,55,60,60,60,60,60,60,58,NA,NA,NA,NA,NA,290,352,377,377,377,352,58,58.67,62.83,62.83,62.83,58.67,NA,58,58,58,58,58,NA,62,62,62,62,62
84,"Doduo",NA,NA,NA,35,35,35,35,35,35,85,85,85,85,85,85,45,45,45,45,45,45,75,75,75,75,75,75,35,NA,NA,NA,NA,NA,275,310,310,310,310,310,55,51.67,51.67,51.67,51.67,51.67,NA,35,35,35,35,35,NA,35,35,35,35,35
85,"Dodrio",NA,NA,NA,60,60,60,60,60,60,110,110,110,110,110,110,70,70,70,70,70,70,100,100,110,110,110,100,60,NA,NA,NA,NA,NA,400,460,470,470,470,460,80,76.67,78.33,78.33,78.33,76.67,NA,60,60,60,60,60,NA,60,60,60,60,60
86,"Seel",NA,NA,NA,65,65,65,65,65,65,45,45,45,45,45,45,55,55,55,55,55,55,45,45,45,45,45,45,70,NA,NA,NA,NA,NA,280,325,325,325,325,325,56,54.17,54.17,54.17,54.17,54.17,NA,45,45,45,45,45,NA,70,70,70,70,70
87,"Dewgong",NA,NA,NA,90,90,90,90,90,90,70,70,70,70,70,70,80,80,80,80,80,80,70,70,70,70,70,70,95,NA,NA,NA,NA,NA,405,475,475,475,475,475,81,79.17,79.17,79.17,79.17,79.17,NA,70,70,70,70,70,NA,95,95,95,95,95
88,"Grimer",NA,NA,NA,80,80,80,80,80,80,80,80,80,80,80,80,50,50,50,50,50,50,25,25,25,25,25,25,40,NA,NA,NA,NA,NA,275,325,325,325,325,325,55,54.17,54.17,54.17,54.17,54.17,NA,40,40,40,40,40,NA,50,50,50,50,50
89,"Muk",NA,NA,NA,105,105,105,105,105,105,105,105,105,105,105,105,75,75,75,75,75,75,50,50,50,50,50,50,65,NA,NA,NA,NA,NA,400,500,500,500,500,500,80,83.33,83.33,83.33,83.33,83.33,NA,65,65,65,65,65,NA,100,100,100,100,100
90,"Shellder",NA,NA,NA,30,30,30,30,30,30,65,65,65,65,65,65,100,100,100,100,100,100,40,40,40,40,40,40,45,NA,NA,NA,NA,NA,280,305,305,305,305,305,56,50.83,50.83,50.83,50.83,50.83,NA,45,45,45,45,45,NA,25,25,25,25,25
91,"Cloyster",NA,NA,NA,50,50,50,50,50,50,95,95,95,95,95,95,180,180,180,180,180,180,70,70,70,70,70,70,85,NA,NA,NA,NA,NA,480,525,525,525,525,525,96,87.5,87.5,87.5,87.5,87.5,NA,85,85,85,85,85,NA,45,45,45,45,45
92,"Gastly",NA,NA,NA,30,30,30,30,30,30,35,35,35,35,35,35,30,30,30,30,30,30,80,80,80,80,80,80,100,NA,NA,NA,NA,NA,275,310,310,310,310,310,55,51.67,51.67,51.67,51.67,51.67,NA,100,100,100,100,100,NA,35,35,35,35,35
93,"Haunter",NA,NA,NA,45,45,45,45,45,45,50,50,50,50,50,50,45,45,45,45,45,45,95,95,95,95,95,95,115,NA,NA,NA,NA,NA,350,405,405,405,405,405,70,67.5,67.5,67.5,67.5,67.5,NA,115,115,115,115,115,NA,55,55,55,55,55
