ndex,name,form,MegaOrPrimal,Mega,HP,Attack,Defense,Speed,Special,Total,Average,Gen,SpAttack,SpDefense
74,Geodude,NA,NA,NA,40,80,100,20,30,270,54,I,NA,NA
75,Graveler,NA,NA,NA,55,95,115,35,45,345,69,I,NA,NA
76,Golem,NA,NA,NA,80,110,130,45,55,420,84,I,NA,NA
77,Ponyta,NA,NA,NA,50,85,55,90,65,345,69,I,NA,NA
78,Rapidash,NA,NA,NA,65,100,70,105,80,420,84,I,NA,NA
79,Slowpoke,NA,NA,NA,90,65,65,15,40,275,55,I,NA,NA
80,Slowbro,NA,NA,NA,95,75,110,30,80,390,78,I,NA,NA
81,Magnemite,NA,NA,NA,25,35,70,45,95,270,54,I,NA,NA
82,Magneton,NA,NA,NA,50,60,95,70,120,395,79,I,NA,NA
83,Farfetch'd,NA,NA,NA,52,65,55,60,58,290,58,I,NA,NA
84,Doduo,NA,NA,NA,35,85,45,75,35,275,55,I,NA,NA
85,Dodrio,NA,NA,NA,60,110,70,100,60,400,80,I,NA,NA
86,Seel,NA,NA,NA,65,45,55,45,70,280,56,I,NA,NA
87,Dewgong,NA,NA,NA,90,70,80,70,95,405,81,I,NA,NA
88,Grimer,NA,NA,NA,80,80,50,25,40,275,55,I,NA,NA
89,Muk,NA,NA,NA,105,105,75,50,65,400,80,I,NA,NA
90,Shellder,NA,NA,NA,30,65,100,40,45,280,56,I,NA,NA
91,Cloyster,NA,NA,NA,50,95,180,70,85,480,96,I,NA,NA
92,Gastly,NA,NA,NA,30,35,30,80,100,275,55,I,NA,NA
93,Haunter,NA,NA,NA,45,50,45,95,115,350,70,I,NA,NA
94,Gengar,NA,NA,NA,60,65,60,110,130,425,85,I,NA,NA
95,Onix,NA,NA,NA,35,45,160,70,30,340,68,I,NA,NA
96,Drowzee,NA,NA,NA,60,48,45,42,90,285,57,I,NA,NA
97,Hypno,NA,NA,NA,85,73,70,67,115,410,82,I,NA,NA
98,Krabby,NA,NA,NA,30,105,90,50,25,300,60,I,NA,NA
99,Kingler,NA,NA,NA,55,130,115,75,50,425,85,I,NA,NA
100,Voltorb,NA,NA,NA,40,30,50,100,55,275,55,I,NA,NA
101,Electrode,NA,NA,NA,60,50,70,140,80,400,80,I,NA,NA
102,Exeggcute,NA,NA,NA,60,40,80,40,60,280,56,I,NA,NA
103,Exeggutor,NA,NA,NA,95,95,85,55,125,455,91,I,NA,NA
104,Cubone,NA,NA,NA,50,50,95,35,40,270,54,I,NA,NA
105,Marowak,NA,NA,NA,60,80,110,45,50,345,69,I,NA,NA
106,Hitmonlee,NA,NA,NA,50,120,53,87,35,345,69,I,NA,NA
107,Hitmonchan,NA,NA,NA,50,105,79,76,35,345,69,I,NA,NA
108,Lickitung,NA,NA,NA,90,55,75,30,60,310,62,I,NA,NA
109,Koffing,NA,NA,NA,40,65,95,35,60,295,59,I,NA,NA
110,Weezing,NA,NA,NA,65,90,120,60,85,420,84,I,NA,NA
111,Rhyhorn,NA,NA,NA,80,85,95,25,30,315,63,I,NA,NA
112,Rhydon,NA,NA,NA,105,130,120,40,45,440,88,I,NA,NA
113,Chansey,NA,NA,NA,250,5,5,50,105,415,83,I,NA,NA
114,Tangela,NA,NA,NA,65,55,115,60,100,395,79,I,NA,NA
115,Kangaskhan,NA,NA,NA,105,95,80,90,40,410,82,I,NA,NA
116,Horsea,NA,NA,NA,30,40,70,60,70,270,54,I,NA,NA
117,Seadra,NA,NA,NA,55,65,95,85,95,395,79,I,NA,NA
118,Goldeen,NA,NA,NA,45,67,60,63,50,285,57,I,NA,NA
119,Seaking,NA,NA,NA,80,92,65,68,80,385,77,I,NA,NA
120,Staryu,NA,NA,NA,30,45,55,85,70,285,57,I,NA,NA
121,Starmie,NA,NA,NA,60,75,85,115,100,435,87,I,NA,NA
122,Mr. Mime,NA,NA,NA,40,45,65,90,100,340,68,I,NA,NA
123,Scyther,NA,NA,NA,70,110,80,105,55,420,84,I,NA,NA
124,Jynx,NA,NA,NA,65,50,35,95,95,340,68,I,NA,NA
125,Electabuzz,NA,NA,NA,65,83,57,105,85,395,79,I,NA,NA
126,Magmar,NA,NA,NA,65,95,57,93,85,395,79,I,NA,NA
127,Pinsir,NA,NA,NA,65,125,100,85,55,430,86,I,NA,NA
128,Tauros,NA,NA,NA,75,100,95,110,70,450,90,I,NA,NA
129,Magikarp,NA,NA,NA,20,10,55,80,20,185,37,I,NA,NA
130,Gyarados,NA,NA,NA,95,125,79,81,100,480,96,I,NA,NA
131,Lapras,NA,NA,NA,130,85,80,60,95,450,90,I,NA,NA
132,Ditto,NA,NA,NA,48,48,48,48,48,240,48,I,NA,NA
133,Eevee,NA,NA,NA,55,55,50,55,65,280,56,I,NA,NA
134,Vaporeon,NA,NA,NA,130,65,60,65,110,430,86,I,NA,NA
135,Jolteon,NA,NA,NA,65,65,60,130,110,430,86,I,NA,NA
136,Flareon,NA,NA,NA,65,130,60,65,110,430,86,I,NA,NA
137,Porygon,NA,NA,NA,65,60,70,40,75,310,62,I,NA,NA
138,Omanyte,NA,NA,NA,35,40,100,35,90,300,60,I,NA,NA
139,Omastar,NA,NA,NA,70,60,125,55,115,425,85,I,NA,NA
140,Kabuto,NA,NA,NA,30,80,90,55,45,300,60,I,NA,NA
141,Kabutops,NA,NA,NA,60,115,105,80,70,430,86,I,NA,NA
142,Aerodactyl,NA,NA,NA,80,105,65,130,60,440,88,I,NA,NA
143,Snorlax,NA,NA,NA,160,110,65,30,65,430,86,I,NA,NA
144,Articuno,NA,NA,NA,90,85,100,85,125,485,97,I,NA,NA
145,Zapdos,NA,NA,NA,90,90,85,100,125,490,98,I,NA,NA
146,Moltres,NA,NA,NA,90,100,90,90,125,495,99,I,NA,NA
147,Dratini,NA,NA,NA,41,64,45,50,50,250,50,I,NA,NA
148,Dragonair,NA,NA,NA,61,84,65,70,70,350,70,I,NA,NA
149,Dragonite,NA,NA,NA,91,134,95,80,100,500,100,I,NA,NA
150,Mewtwo,NA,NA,NA,106,110,90,130,154,590,118,I,NA,NA
151,Mew,NA,NA,NA,100,100,100,100,100,500,100,I,NA,NA
1,Bulbasaur,NA,NA,NA,45,49,49,45,NA,318,53,VI,65,65
2,Ivysaur,NA,NA,NA,60,62,63,60,NA,405,67.5,VI,80,80
3,Venusaur,NA,NA,NA,80,82,83,80,NA,525,87.5,VI,100,100
3,Venusaur,NA,Mega,Mega Venusaur,80,100,123,80,NA,625,104.17,VI,122,120
4,Charmander,NA,NA,NA,39,52,43,65,NA,309,51.5,VI,60,50
5,Charmeleon,NA,NA,NA,58,64,58,80,NA,405,67.5,VI,80,65
6,Charizard,NA,NA,NA,78,84,78,100,NA,534,89,VI,109,85
6,Charizard,NA,Mega,Mega Charizard X,78,130,111,100,NA,634,105.67,VI,130,85
6,Charizard,NA,Mega,Mega Charizard Y,78,104,78,100,NA,634,105.67,VI,159,115
7,Squirtle,NA,NA,NA,44,48,65,43,NA,314,52.33,VI,50,64
8,Wartortle,NA,NA,NA,59,63,80,58,NA,405,67.5,VI,65,80
9,Blastoise,NA,NA,NA,79,83,100,78,NA,530,88.33,VI,85,105
9,Blastoise,NA,Mega,Mega Blastoise,79,103,120,78,NA,630,105,VI,135,115
10,Caterpie,NA,NA,NA,45,30,35,45,NA,195,32.5,VI,20,20
11,Metapod,NA,NA,NA,50,20,55,30,NA,205,34.17,VI,25,25
12,Butterfree,NA,NA,NA,60,45,50,70,NA,395,65.83,VI,90,80
13,Weedle,NA,NA,NA,40,35,30,50,NA,195,32.5,VI,20,20
14,Kakuna,NA,NA,NA,45,25,50,35,NA,205,34.17,VI,25,25
15,Beedrill,NA,NA,NA,65,90,40,75,NA,395,65.83,VI,45,80
15,Beedrill,NA,Mega,Mega Beedrill,65,150,40,145,NA,495,82.5,VI,15,80
16,Pidgey,NA,NA,NA,40,45,40,56,NA,251,41.83,VI,35,35
17,Pidgeotto,NA,NA,NA,63,60,55,71,NA,349,58.17,VI,50,50
18,Pidgeot,NA,NA,NA,83,80,75,101,NA,479,79.83,VI,70,70
18,Pidgeot,NA,Mega,Mega Pidgeot,83,80,80,121,NA,579,96.5,VI,135,80
19,Rattata,NA,NA,NA,30,56,35,72,NA,253,42.17,VI,25,35
20,Raticate,NA,NA,NA,55,81,60,97,NA,413,68.83,VI,50,70
21,Spearow,NA,NA,NA,40,60,30,70,NA,262,43.67,VI,31,31
22,Fearow,NA,NA,NA,65,90,65,100,NA,442,73.67,VI,61,61
23,Ekans,NA,NA,NA,35,60,44,55,NA,288,48,VI,40,54
24,Arbok,NA,NA,NA,60,85,69,80,NA,438,73,VI,65,79
25,Pikachu,NA,NA,NA,35,55,40,90,NA,320,53.33,VI,50,50
26,Raichu,NA,NA,NA,60,90,55,110,NA,485,80.83,VI,90,80
27,Sandshrew,NA,NA,NA,50,75,85,40,NA,300,50,VI,20,30
28,Sandslash,NA,NA,NA,75,100,110,65,NA,450,75,VI,45,55
29,Nidoran♀,NA,NA,NA,55,47,52,41,NA,275,45.83,VI,40,40
30,Nidorina,NA,NA,NA,70,62,67,56,NA,365,60.83,VI,55,55
31,Nidoqueen,NA,NA,NA,90,92,87,76,NA,505,84.17,VI,75,85
32,Nidoran♂,NA,NA,NA,46,57,40,50,NA,273,45.5,VI,40,40
33,Nidorino,NA,NA,NA,61,72,57,65,NA,365,60.83,VI,55,55
34,Nidoking,NA,NA,NA,81,102,77,85,NA,505,84.17,VI,85,75
35,Clefairy,NA,NA,NA,70,45,48,35,NA,323,53.83,VI,60,65
36,Clefable,NA,NA,NA,95,70,73,60,NA,483,80.5,VI,95,90
37,Vulpix,NA,NA,NA,38,41,40,65,NA,299,49.83,VI,50,65
38,Ninetales,NA,NA,NA,73,76,75,100,NA,505,84.17,VI,81,100
39,Jigglypuff,NA,NA,NA,115,45,20,20,NA,270,45,VI,45,25
40,Wigglytuff,NA,NA,NA,140,70,45,45,NA,435,72.5,VI,85,50
41,Zubat,NA,NA,NA,40,45,35,55,NA,245,40.83,VI,30,40
42,Golbat,NA,NA,NA,75,80,70,90,NA,455,75.83,VI,65,75
43,Oddish,NA,NA,NA,45,50,55,30,NA,320,53.33,VI,75,65
44,Gloom,NA,NA,NA,60,65,70,40,NA,395,65.83,VI,85,75
45,Vileplume,NA,NA,NA,75,80,85,50,NA,490,81.67,VI,110,90
46,Paras,NA,NA,NA,35,70,55,25,NA,285,47.5,VI,45,55
47,Parasect,NA,NA,NA,60,95,80,30,NA,405,67.5,VI,60,80
48,Venonat,NA,NA,NA,60,55,50,45,NA,305,50.83,VI,40,55
49,Venomoth,NA,NA,NA,70,65,60,90,NA,450,75,VI,90,75
50,Diglett,NA,NA,NA,10,55,25,95,NA,265,44.17,VI,35,45
51,Dugtrio,NA,NA,NA,35,80,50,120,NA,405,67.5,VI,50,70
52,Meowth,NA,NA,NA,40,45,35,90,NA,290,48.33,VI,40,40
53,Persian,NA,NA,NA,65,70,60,115,NA,440,73.33,VI,65,65
54,Psyduck,NA,NA,NA,50,52,48,55,NA,320,53.33,VI,65,50
55,Golduck,NA,NA,NA,80,82,78,85,NA,500,83.33,VI,95,80
56,Mankey,NA,NA,NA,40,80,35,70,NA,305,50.83,VI,35,45
57,Primeape,NA,NA,NA,65,105,60,95,NA,455,75.83,VI,60,70
58,Growlithe,NA,NA,NA,55,70,45,60,NA,350,58.33,VI,70,50
59,Arcanine,NA,NA,NA,90,110,80,95,NA,555,92.5,VI,100,80
60,Poliwag,NA,NA,NA,40,50,40,90,NA,300,50,VI,40,40
61,Poliwhirl,NA,NA,NA,65,65,65,90,NA,385,64.17,VI,50,50
62,Poliwrath,NA,NA,NA,90,95,95,70,NA,510,85,VI,70,90
63,Abra,NA,NA,NA,25,20,15,90,NA,310,51.67,VI,105,55
64,Kadabra,NA,NA,NA,40,35,30,105,NA,400,66.67,VI,120,70
65,Alakazam,NA,NA,NA,55,50,45,120,NA,500,83.33,VI,135,95
65,Alakazam,NA,Mega,Mega Alakazam,55,50,65,150,NA,590,98.33,VI,175,95
66,Machop,NA,NA,NA,70,80,50,35,NA,305,50.83,VI,35,35
67,Machoke,NA,NA,NA,80,100,70,45,NA,405,67.5,VI,50,60
68,Machamp,NA,NA,NA,90,130,80,55,NA,505,84.17,VI,65,85
69,Bellsprout,NA,NA,NA,50,75,35,40,NA,300,50,VI,70,30
70,Weepinbell,NA,NA,NA,65,90,50,55,NA,390,65,VI,85,45
71,Victreebel,NA,NA,NA,80,105,65,70,NA,490,81.67,VI,100,70
72,Tentacool,NA,NA,NA,40,40,35,70,NA,335,55.83,VI,50,100
73,Tentacruel,NA,NA,NA,80,70,65,100,NA,515,85.83,VI,80,120
74,Geodude,NA,NA,NA,40,80,100,20,NA,300,50,VI,30,30
75,Graveler,NA,NA,NA,55,95,115,35,NA,390,65,VI,45,45
76,Golem,NA,NA,NA,80,120,130,45,NA,495,82.5,VI,55,65
77,Ponyta,NA,NA,NA,50,85,55,90,NA,410,68.33,VI,65,65
78,Rapidash,NA,NA,NA,65,100,70,105,NA,500,83.33,VI,80,80
79,Slowpoke,NA,NA,NA,90,65,65,15,NA,315,52.5,VI,40,40
80,Slowbro,NA,NA,NA,95,75,110,30,NA,490,81.67,VI,100,80
80,Slowbro,NA,Mega,Mega Slowbro,95,75,180,30,NA,590,98.33,VI,130,80
81,Magnemite,NA,NA,NA,25,35,70,45,NA,325,54.17,VI,95,55
82,Magneton,NA,NA,NA,50,60,95,70,NA,465,77.5,VI,120,70
83,Farfetch'd,NA,NA,NA,52,65,55,60,NA,352,58.67,VI,58,62
84,Doduo,NA,NA,NA,35,85,45,75,NA,310,51.67,VI,35,35
85,Dodrio,NA,NA,NA,60,110,70,100,NA,460,76.67,VI,60,60
86,Seel,NA,NA,NA,65,45,55,45,NA,325,54.17,VI,45,70
87,Dewgong,NA,NA,NA,90,70,80,70,NA,475,79.17,VI,70,95
88,Grimer,NA,NA,NA,80,80,50,25,NA,325,54.17,VI,40,50
89,Muk,NA,NA,NA,105,105,75,50,NA,500,83.33,VI,65,100
90,Shellder,NA,NA,NA,30,65,100,40,NA,305,50.83,VI,45,25
91,Cloyster,NA,NA,NA,50,95,180,70,NA,525,87.5,VI,85,45
92,Gastly,NA,NA,NA,30,35,30,80,NA,310,51.67,VI,100,35
93,Haunter,NA,NA,NA,45,50,45,95,NA,405,67.5,VI,115,55
94,Gengar,NA,NA,NA,60,65,60,110,NA,500,83.33,VI,130,75
94,Gengar,NA,Mega,Mega Gengar,60,65,80,130,NA,600,100,VI,170,95
95,Onix,NA,NA,NA,35,45,160,70,NA,385,64.17,VI,30,45
96,Drowzee,NA,NA,NA,60,48,45,42,NA,328,54.67,VI,43,90
97,Hypno,NA,NA,NA,85,73,70,67,NA,483,80.5,VI,73,115
98,Krabby,NA,NA,NA,30,105,90,50,NA,325,54.17,VI,25,25
99,Kingler,NA,NA,NA,55,130,115,75,NA,475,79.17,VI,50,50
100,Voltorb,NA,NA,NA,40,30,50,100,NA,330,55,VI,55,55
101,Electrode,NA,NA,NA,60,50,70,140,NA,480,80,VI,80,80
102,Exeggcute,NA,NA,NA,60,40,80,40,NA,325,54.17,VI,60,45
103,Exeggutor,NA,NA,NA,95,95,85,55,NA,520,86.67,VI,125,65
104,Cubone,NA,NA,NA,50,50,95,35,NA,320,53.33,VI,40,50
105,Marowak,NA,NA,NA,60,80,110,45,NA,425,70.83,VI,50,80
106,Hitmonlee,NA,NA,NA,50,120,53,87,NA,455,75.83,VI,35,110
107,Hitmonchan,NA,NA,NA,50,105,79,76,NA,455,75.83,VI,35,110
108,Lickitung,NA,NA,NA,90,55,75,30,NA,385,64.17,VI,60,75
109,Koffing,NA,NA,NA,40,65,95,35,NA,340,56.67,VI,60,45
110,Weezing,NA,NA,NA,65,90,120,60,NA,490,81.67,VI,85,70
111,Rhyhorn,NA,NA,NA,80,85,95,25,NA,345,57.5,VI,30,30
112,Rhydon,NA,NA,NA,105,130,120,40,NA,485,80.83,VI,45,45
113,Chansey,NA,NA,NA,250,5,5,50,NA,450,75,VI,35,105
114,Tangela,NA,NA,NA,65,55,115,60,NA,435,72.5,VI,100,40
115,Kangaskhan,NA,NA,NA,105,95,80,90,NA,490,81.67,VI,40,80
115,Kangaskhan,NA,Mega,Mega Kangaskhan,105,125,100,100,NA,590,98.33,VI,60,100
116,Horsea,NA,NA,NA,30,40,70,60,NA,295,49.17,VI,70,25
117,Seadra,NA,NA,NA,55,65,95,85,NA,440,73.33,VI,95,45
118,Goldeen,NA,NA,NA,45,67,60,63,NA,320,53.33,VI,35,50
119,Seaking,NA,NA,NA,80,92,65,68,NA,450,75,VI,65,80
120,Staryu,NA,NA,NA,30,45,55,85,NA,340,56.67,VI,70,55
121,Starmie,NA,NA,NA,60,75,85,115,NA,520,86.67,VI,100,85
122,Mr. Mime,NA,NA,NA,40,45,65,90,NA,460,76.67,VI,100,120
123,Scyther,NA,NA,NA,70,110,80,105,NA,500,83.33,VI,55,80
124,Jynx,NA,NA,NA,65,50,35,95,NA,455,75.83,VI,115,95
125,Electabuzz,NA,NA,NA,65,83,57,105,NA,490,81.67,VI,95,85
126,Magmar,NA,NA,NA,65,95,57,93,NA,495,82.5,VI,100,85
127,Pinsir,NA,NA,NA,65,125,100,85,NA,500,83.33,VI,55,70
127,Pinsir,NA,Mega,Mega Pinsir,65,155,120,105,NA,600,100,VI,65,90
128,Tauros,NA,NA,NA,75,100,95,110,NA,490,81.67,VI,40,70
129,Magikarp,NA,NA,NA,20,10,55,80,NA,200,33.33,VI,15,20
130,Gyarados,NA,NA,NA,95,125,79,81,NA,540,90,VI,60,100
130,Gyarados,NA,Mega,Mega Gyarados,95,155,109,81,NA,640,106.67,VI,70,130
131,Lapras,NA,NA,NA,130,85,80,60,NA,535,89.17,VI,85,95
132,Ditto,NA,NA,NA,48,48,48,48,NA,288,48,VI,48,48
133,Eevee,NA,NA,NA,55,55,50,55,NA,325,54.17,VI,45,65
134,Vaporeon,NA,NA,NA,130,65,60,65,NA,525,87.5,VI,110,95
135,Jolteon,NA,NA,NA,65,65,60,130,NA,525,87.5,VI,110,95
136,Flareon,NA,NA,NA,65,130,60,65,NA,525,87.5,VI,95,110
137,Porygon,NA,NA,NA,65,60,70,40,NA,395,65.83,VI,85,75
138,Omanyte,NA,NA,NA,35,40,100,35,NA,355,59.17,VI,90,55
139,Omastar,NA,NA,NA,70,60,125,55,NA,495,82.5,VI,115,70
140,Kabuto,NA,NA,NA,30,80,90,55,NA,355,59.17,VI,55,45
141,Kabutops,NA,NA,NA,60,115,105,80,NA,495,82.5,VI,65,70
142,Aerodactyl,NA,NA,NA,80,105,65,130,NA,515,85.83,VI,60,75
142,Aerodactyl,NA,Mega,Mega Aerodactyl,80,135,85,150,NA,615,102.5,VI,70,95
143,Snorlax,NA,NA,NA,160,110,65,30,NA,540,90,VI,65,110
144,Articuno,NA,NA,NA,90,85,100,85,NA,580,96.67,VI,95,125
145,Zapdos,NA,NA,NA,90,90,85,100,NA,580,96.67,VI,125,90
146,Moltres,NA,NA,NA,90,100,90,90,NA,580,96.67,VI,125,85
147,Dratini,NA,NA,NA,41,64,45,50,NA,300,50,VI,50,50
148,Dragonair,NA,NA,NA,61,84,65,70,NA,420,70,VI,70,70
149,Dragonite,NA,NA,NA,91,134,95,80,NA,600,100,VI,100,100
150,Mewtwo,NA,NA,NA,106,110,90,130,NA,680,113.33,VI,154,90
150,Mewtwo,NA,Mega,Mega Mewtwo X,106,190,100,130,NA,780,130,VI,154,100
150,Mewtwo,NA,Mega,Mega Mewtwo Y,106,150,70,140,NA,780,130,VI,194,120
151,Mew,NA,NA,NA,100,100,100,100,NA,600,100,VI,100,100
152,Chikorita,NA,NA,NA,45,49,65,45,NA,318,53,VI,49,65
153,Bayleef,NA,NA,NA,60,62,80,60,NA,405,67.5,VI,63,80
154,Meganium,NA,NA,NA,80,82,100,80,NA,525,87.5,VI,83,100
155,Cyndaquil,NA,NA,NA,39,52,43,65,NA,309,51.5,VI,60,50
156,Quilava,NA,NA,NA,58,64,58,80,NA,405,67.5,VI,80,65
157,Typhlosion,NA,NA,NA,78,84,78,100,NA,534,89,VI,109,85
158,Totodile,NA,NA,NA,50,65,64,43,NA,314,52.33,VI,44,48
159,Croconaw,NA,NA,NA,65,80,80,58,NA,405,67.5,VI,59,63
160,Feraligatr,NA,NA,NA,85,105,100,78,NA,530,88.33,VI,79,83
161,Sentret,NA,NA,NA,35,46,34,20,NA,215,35.83,VI,35,45
162,Furret,NA,NA,NA,85,76,64,90,NA,415,69.17,VI,45,55
163,Hoothoot,NA,NA,NA,60,30,30,50,NA,262,43.67,VI,36,56
164,Noctowl,NA,NA,NA,100,50,50,70,NA,442,73.67,VI,76,96
165,Ledyba,NA,NA,NA,40,20,30,55,NA,265,44.17,VI,40,80
166,Ledian,NA,NA,NA,55,35,50,85,NA,390,65,VI,55,110
167,Spinarak,NA,NA,NA,40,60,40,30,NA,250,41.67,VI,40,40
168,Ariados,NA,NA,NA,70,90,70,40,NA,390,65,VI,60,60
169,Crobat,NA,NA,NA,85,90,80,130,NA,535,89.17,VI,70,80
170,Chinchou,NA,NA,NA,75,38,38,67,NA,330,55,VI,56,56
171,Lanturn,NA,NA,NA,125,58,58,67,NA,460,76.67,VI,76,76
172,Pichu,NA,NA,NA,20,40,15,60,NA,205,34.17,VI,35,35
173,Cleffa,NA,NA,NA,50,25,28,15,NA,218,36.33,VI,45,55
174,Igglybuff,NA,NA,NA,90,30,15,15,NA,210,35,VI,40,20
175,Togepi,NA,NA,NA,35,20,65,20,NA,245,40.83,VI,40,65
176,Togetic,NA,NA,NA,55,40,85,40,NA,405,67.5,VI,80,105
177,Natu,NA,NA,NA,40,50,45,70,NA,320,53.33,VI,70,45
178,Xatu,NA,NA,NA,65,75,70,95,NA,470,78.33,VI,95,70
179,Mareep,NA,NA,NA,55,40,40,35,NA,280,46.67,VI,65,45
