"ndex","name","form","regional","Gen","MegaOrPrimal","Mega","Exp","note","HP","Attack","Defense","SpAttack","SpDefense","Speed","TotalEVs"
74,"Geodude",NA,NA,"III",NA,NA,86,NA,0,0,1,0,0,0,1
75,"Graveler",NA,NA,"III",NA,NA,134,NA,0,0,2,0,0,0,2
75,"Graveler",NA,NA,"III",NA,NA,134,NA,0,0,2,0,0,0,2
76,"Golem",NA,NA,"III",NA,NA,177,NA,0,0,3,0,0,0,3
76,"Golem",NA,NA,"III",NA,NA,177,NA,0,0,3,0,0,0,3
77,"Ponyta",NA,NA,"III",NA,NA,152,NA,0,0,0,0,0,1,1
77,"Ponyta",NA,NA,"III",NA,NA,152,NA,0,0,0,0,0,1,1
78,"Rapidash",NA,NA,"III",NA,NA,192,NA,0,0,0,0,0,2,2
78,"Rapidash",NA,NA,"III",NA,NA,192,NA,0,0,0,0,0,2,2
79,"Slowpoke",NA,NA,"III",NA,NA,99,NA,1,0,0,0,0,0,1
79,"Slowpoke",NA,NA,"III",NA,NA,99,NA,1,0,0,0,0,0,1
80,"Slowbro",NA,NA,"III",NA,NA,164,NA,0,0,2,0,0,0,2
80,"Slowbro",NA,NA,"III",NA,NA,164,NA,0,0,2,0,0,0,2
81,"Magnemite",NA,NA,"III",NA,NA,89,NA,0,0,0,1,0,0,1
82,"Magneton",NA,NA,"III",NA,NA,161,NA,0,0,0,2,0,0,2
83,"Farfetch'd",NA,NA,"III",NA,NA,94,NA,0,1,0,0,0,0,1
83,"Farfetch'd",NA,NA,"III",NA,NA,94,NA,0,1,0,0,0,0,1
84,"Doduo",NA,NA,"III",NA,NA,96,NA,0,1,0,0,0,0,1
85,"Dodrio",NA,NA,"III",NA,NA,158,NA,0,2,0,0,0,0,2
86,"Seel",NA,NA,"III",NA,NA,100,NA,0,0,0,0,1,0,1
87,"Dewgong",NA,NA,"III",NA,NA,176,NA,0,0,0,0,2,0,2
88,"Grimer",NA,NA,"III",NA,NA,90,NA,1,0,0,0,0,0,1
88,"Grimer",NA,NA,"III",NA,NA,90,NA,1,0,0,0,0,0,1
89,"Muk",NA,NA,"III",NA,NA,157,NA,1,1,0,0,0,0,2
89,"Muk",NA,NA,"III",NA,NA,157,NA,1,1,0,0,0,0,2
90,"Shellder",NA,NA,"III",NA,NA,97,NA,0,0,1,0,0,0,1
91,"Cloyster",NA,NA,"III",NA,NA,203,NA,0,0,2,0,0,0,2
92,"Gastly",NA,NA,"III",NA,NA,95,NA,0,0,0,1,0,0,1
93,"Haunter",NA,NA,"III",NA,NA,126,NA,0,0,0,2,0,0,2
94,"Gengar",NA,NA,"III",NA,NA,190,NA,0,0,0,3,0,0,3
95,"Onix",NA,NA,"III",NA,NA,108,NA,0,0,1,0,0,0,1
96,"Drowzee",NA,NA,"III",NA,NA,102,NA,0,0,0,0,1,0,1
97,"Hypno",NA,NA,"III",NA,NA,165,NA,0,0,0,0,2,0,2
98,"Krabby",NA,NA,"III",NA,NA,115,NA,0,1,0,0,0,0,1
99,"Kingler",NA,NA,"III",NA,NA,206,NA,0,2,0,0,0,0,2
100,"Voltorb",NA,NA,"III",NA,NA,103,NA,0,0,0,0,0,1,1
100,"Voltorb",NA,NA,"III",NA,NA,103,NA,0,0,0,0,0,1,1
101,"Electrode",NA,NA,"III",NA,NA,150,NA,0,0,0,0,0,2,2
101,"Electrode",NA,NA,"III",NA,NA,150,NA,0,0,0,0,0,2,2
102,"Exeggcute",NA,NA,"III",NA,NA,98,NA,0,0,1,0,0,0,1
103,"Exeggutor",NA,NA,"III",NA,NA,212,NA,0,0,0,2,0,0,2
103,"Exeggutor",NA,NA,"III",NA,NA,212,NA,0,0,0,2,0,0,2
104,"Cubone",NA,NA,"III",NA,NA,87,NA,0,0,1,0,0,0,1
105,"Marowak",NA,NA,"III",NA,NA,124,NA,0,0,2,0,0,0,2
105,"Marowak",NA,NA,"III",NA,NA,124,NA,0,0,2,0,0,0,2
106,"Hitmonlee",NA,NA,"III",NA,NA,139,NA,0,2,0,0,0,0,2
107,"Hitmonchan",NA,NA,"III",NA,NA,140,NA,0,0,0,0,2,0,2
108,"Lickitung",NA,NA,"III",NA,NA,127,NA,2,0,0,0,0,0,2
109,"Koffing",NA,NA,"III",NA,NA,114,NA,0,0,1,0,0,0,1
110,"Weezing",NA,NA,"III",NA,NA,173,NA,0,0,2,0,0,0,2
110,"Weezing",NA,NA,"III",NA,NA,173,NA,0,0,2,0,0,0,2
111,"Rhyhorn",NA,NA,"III",NA,NA,135,NA,0,0,1,0,0,0,1
112,"Rhydon",NA,NA,"III",NA,NA,204,NA,0,2,0,0,0,0,2
113,"Chansey",NA,NA,"III",NA,NA,255,NA,2,0,0,0,0,0,2
114,"Tangela",NA,NA,"III",NA,NA,166,NA,0,0,1,0,0,0,1
115,"Kangaskhan",NA,NA,"III",NA,NA,175,NA,2,0,0,0,0,0,2
116,"Horsea",NA,NA,"III",NA,NA,83,NA,0,0,0,1,0,0,1
117,"Seadra",NA,NA,"III",NA,NA,155,NA,0,0,1,1,0,0,2
118,"Goldeen",NA,NA,"III",NA,NA,111,NA,0,1,0,0,0,0,1
119,"Seaking",NA,NA,"III",NA,NA,170,NA,0,2,0,0,0,0,2
120,"Staryu",NA,NA,"III",NA,NA,106,NA,0,0,0,0,0,1,1
121,"Starmie",NA,NA,"III",NA,NA,207,NA,0,0,0,0,0,2,2
122,"Mr. Mime",NA,NA,"III",NA,NA,136,NA,0,0,0,0,2,0,2
122,"Mr. Mime",NA,NA,"III",NA,NA,136,NA,0,0,0,0,2,0,2
123,"Scyther",NA,NA,"III",NA,NA,187,NA,0,1,0,0,0,0,1
124,"Jynx",NA,NA,"III",NA,NA,137,NA,0,0,0,2,0,0,2
125,"Electabuzz",NA,NA,"III",NA,NA,156,NA,0,0,0,0,0,2,2
126,"Magmar",NA,NA,"III",NA,NA,167,NA,0,0,0,2,0,0,2
127,"Pinsir",NA,NA,"III",NA,NA,200,NA,0,2,0,0,0,0,2
128,"Tauros",NA,NA,"III",NA,NA,211,NA,0,1,0,0,0,1,2
128,"Tauros",NA,NA,"III",NA,NA,211,NA,0,1,0,0,0,1,2
128,"Tauros",NA,NA,"III",NA,NA,211,NA,0,1,0,0,0,1,2
128,"Tauros",NA,NA,"III",NA,NA,211,NA,0,1,0,0,0,1,2
129,"Magikarp",NA,NA,"III",NA,NA,20,NA,0,0,0,0,0,1,1
130,"Gyarados",NA,NA,"III",NA,NA,214,NA,0,2,0,0,0,0,2
131,"Lapras",NA,NA,"III",NA,NA,219,NA,2,0,0,0,0,0,2
132,"Ditto",NA,NA,"III",NA,NA,61,NA,1,0,0,0,0,0,1
133,"Eevee",NA,NA,"III",NA,NA,92,NA,0,0,0,0,1,0,1
134,"Vaporeon",NA,NA,"III",NA,NA,196,NA,2,0,0,0,0,0,2
135,"Jolteon",NA,NA,"III",NA,NA,197,NA,0,0,0,0,0,2,2
136,"Flareon",NA,NA,"III",NA,NA,198,NA,0,2,0,0,0,0,2
137,"Porygon",NA,NA,"III",NA,NA,130,NA,0,0,0,1,0,0,1
138,"Omanyte",NA,NA,"III",NA,NA,120,NA,0,0,1,0,0,0,1
139,"Omastar",NA,NA,"III",NA,NA,199,NA,0,0,2,0,0,0,2
140,"Kabuto",NA,NA,"III",NA,NA,119,NA,0,0,1,0,0,0,1
141,"Kabutops",NA,NA,"III",NA,NA,201,NA,0,2,0,0,0,0,2
142,"Aerodactyl",NA,NA,"III",NA,NA,202,NA,0,0,0,0,0,2,2
143,"Snorlax",NA,NA,"III",NA,NA,154,NA,2,0,0,0,0,0,2
144,"Articuno",NA,NA,"III",NA,NA,215,NA,0,0,0,0,3,0,3
144,"Articuno",NA,NA,"III",NA,NA,215,NA,0,0,0,0,3,0,3
145,"Zapdos",NA,NA,"III",NA,NA,216,NA,0,0,0,3,0,0,3
145,"Zapdos",NA,NA,"III",NA,NA,216,NA,0,0,0,3,0,0,3
146,"Moltres",NA,NA,"III",NA,NA,217,NA,0,0,0,3,0,0,3
146,"Moltres",NA,NA,"III",NA,NA,217,NA,0,0,0,3,0,0,3
147,"Dratini",NA,NA,"III",NA,NA,67,NA,0,1,0,0,0,0,1
148,"Dragonair",NA,NA,"III",NA,NA,144,NA,0,2,0,0,0,0,2
149,"Dragonite",NA,NA,"III",NA,NA,218,NA,0,3,0,0,0,0,3
150,"Mewtwo",NA,NA,"III",NA,NA,220,NA,0,0,0,3,0,0,3
151,"Mew",NA,NA,"III",NA,NA,64,NA,3,0,0,0,0,0,3
152,"Chikorita",NA,NA,"III",NA,NA,64,NA,0,0,0,0,1,0,1
153,"Bayleef",NA,NA,"III",NA,NA,141,NA,0,0,1,0,1,0,2
154,"Meganium",NA,NA,"III",NA,NA,208,NA,0,0,1,0,2,0,3
155,"Cyndaquil",NA,NA,"III",NA,NA,65,NA,0,0,0,0,0,1,1
156,"Quilava",NA,NA,"III",NA,NA,142,NA,0,0,0,1,0,1,2
157,"Typhlosion",NA,NA,"III",NA,NA,209,NA,0,0,0,3,0,0,3
157,"Typhlosion",NA,NA,"III",NA,NA,209,NA,0,0,0,3,0,0,3
158,"Totodile",NA,NA,"III",NA,NA,66,NA,0,1,0,0,0,0,1
159,"Croconaw",NA,NA,"III",NA,NA,143,NA,0,1,1,0,0,0,2
160,"Feraligatr",NA,NA,"III",NA,NA,210,NA,0,2,1,0,0,0,3
161,"Sentret",NA,NA,"III",NA,NA,57,NA,0,1,0,0,0,0,1
162,"Furret",NA,NA,"III",NA,NA,116,NA,0,0,0,0,0,2,2
163,"Hoothoot",NA,NA,"III",NA,NA,58,NA,1,0,0,0,0,0,1
164,"Noctowl",NA,NA,"III",NA,NA,162,NA,2,0,0,0,0,0,2
165,"Ledyba",NA,NA,"III",NA,NA,54,NA,0,0,0,0,1,0,1
166,"Ledian",NA,NA,"III",NA,NA,134,NA,0,0,0,0,2,0,2
167,"Spinarak",NA,NA,"III",NA,NA,54,NA,0,1,0,0,0,0,1
168,"Ariados",NA,NA,"III",NA,NA,134,NA,0,2,0,0,0,0,2
169,"Crobat",NA,NA,"III",NA,NA,204,NA,0,0,0,0,0,3,3
170,"Chinchou",NA,NA,"III",NA,NA,90,NA,1,0,0,0,0,0,1
171,"Lanturn",NA,NA,"III",NA,NA,156,NA,2,0,0,0,0,0,2
172,"Pichu",NA,NA,"III",NA,NA,42,NA,0,0,0,0,0,1,1
173,"Cleffa",NA,NA,"III",NA,NA,37,NA,0,0,0,0,1,0,1
174,"Igglybuff",NA,NA,"III",NA,NA,39,NA,1,0,0,0,0,0,1
175,"Togepi",NA,NA,"III",NA,NA,74,NA,0,0,0,0,1,0,1
176,"Togetic",NA,NA,"III",NA,NA,114,NA,0,0,0,0,2,0,2
177,"Natu",NA,NA,"III",NA,NA,73,NA,0,0,0,1,0,0,1
178,"Xatu",NA,NA,"III",NA,NA,171,NA,0,0,0,1,0,1,2
179,"Mareep",NA,NA,"III",NA,NA,59,NA,0,0,0,1,0,0,1
180,"Flaaffy",NA,NA,"III",NA,NA,117,NA,0,0,0,2,0,0,2
181,"Ampharos",NA,NA,"III",NA,NA,194,NA,0,0,0,3,0,0,3
182,"Bellossom",NA,NA,"III",NA,NA,184,NA,0,0,0,0,3,0,3
183,"Marill",NA,NA,"III",NA,NA,58,NA,2,0,0,0,0,0,2
184,"Azumarill",NA,NA,"III",NA,NA,153,NA,3,0,0,0,0,0,3
185,"Sudowoodo",NA,NA,"III",NA,NA,135,NA,0,0,2,0,0,0,2
186,"Politoed",NA,NA,"III",NA,NA,185,NA,0,0,0,0,3,0,3
187,"Hoppip",NA,NA,"III",NA,NA,74,NA,0,0,0,0,1,0,1
188,"Skiploom",NA,NA,"III",NA,NA,136,NA,0,0,0,0,0,2,2
189,"Jumpluff",NA,NA,"III",NA,NA,176,NA,0,0,0,0,0,3,3
190,"Aipom",NA,NA,"III",NA,NA,94,NA,0,0,0,0,0,1,1
191,"Sunkern",NA,NA,"III",NA,NA,52,NA,0,0,0,1,0,0,1
192,"Sunflora",NA,NA,"III",NA,NA,146,NA,0,0,0,2,0,0,2
193,"Yanma",NA,NA,"III",NA,NA,147,NA,0,0,0,0,0,2,2
194,"Wooper",NA,NA,"III",NA,NA,52,NA,1,0,0,0,0,0,1
194,"Wooper",NA,NA,"III",NA,NA,52,NA,1,0,0,0,0,0,1
195,"Quagsire",NA,NA,"III",NA,NA,137,NA,2,0,0,0,0,0,2
196,"Espeon",NA,NA,"III",NA,NA,197,NA,0,0,0,2,0,0,2
197,"Umbreon",NA,NA,"III",NA,NA,197,NA,0,0,0,0,2,0,2
198,"Murkrow",NA,NA,"III",NA,NA,107,NA,0,0,0,0,0,1,1
199,"Slowking",NA,NA,"III",NA,NA,164,NA,0,0,0,0,3,0,3
199,"Slowking",NA,NA,"III",NA,NA,164,NA,0,0,0,0,3,0,3
200,"Misdreavus",NA,NA,"III",NA,NA,147,NA,0,0,0,1,1,0,2
201,"Unown",NA,NA,"III",NA,NA,61,NA,0,1,0,1,0,0,2
202,"Wobbuffet",NA,NA,"III",NA,NA,177,NA,2,0,0,0,0,0,2
203,"Girafarig",NA,NA,"III",NA,NA,149,NA,0,0,0,2,0,0,2
204,"Pineco",NA,NA,"III",NA,NA,60,NA,0,0,1,0,0,0,1
205,"Forretress",NA,NA,"III",NA,NA,118,NA,0,0,2,0,0,0,2
206,"Dunsparce",NA,NA,"III",NA,NA,75,NA,1,0,0,0,0,0,1
207,"Gligar",NA,NA,"III",NA,NA,108,NA,0,0,1,0,0,0,1
208,"Steelix",NA,NA,"III",NA,NA,196,NA,0,0,2,0,0,0,2
209,"Snubbull",NA,NA,"III",NA,NA,63,NA,0,1,0,0,0,0,1
210,"Granbull",NA,NA,"III",NA,NA,178,NA,0,2,0,0,0,0,2
211,"Qwilfish",NA,NA,"III",NA,NA,100,NA,0,1,0,0,0,0,1
211,"Qwilfish",NA,NA,"III",NA,NA,100,NA,0,1,0,0,0,0,1
212,"Scizor",NA,NA,"III",NA,NA,200,NA,0,2,0,0,0,0,2
213,"Shuckle",NA,NA,"III",NA,NA,80,NA,0,0,1,0,1,0,2
214,"Heracross",NA,NA,"III",NA,NA,200,NA,0,2,0,0,0,0,2
215,"Sneasel",NA,NA,"III",NA,NA,132,NA,0,0,0,0,0,1,1
215,"Sneasel",NA,NA,"III",NA,NA,132,NA,0,0,0,0,0,1,1
216,"Teddiursa",NA,NA,"III",NA,NA,124,NA,0,1,0,0,0,0,1
217,"Ursaring",NA,NA,"III",NA,NA,189,NA,0,2,0,0,0,0,2
218,"Slugma",NA,NA,"III",NA,NA,78,NA,0,0,0,1,0,0,1
219,"Magcargo",NA,NA,"III",NA,NA,154,NA,0,0,2,0,0,0,2
220,"Swinub",NA,NA,"III",NA,NA,78,NA,0,1,0,0,0,0,1
221,"Piloswine",NA,NA,"III",NA,NA,160,NA,1,1,0,0,0,0,2
222,"Corsola",NA,NA,"III",NA,NA,113,NA,0,0,1,0,1,0,2
222,"Corsola",NA,NA,"III",NA,NA,113,NA,0,0,1,0,1,0,2
223,"Remoraid",NA,NA,"III",NA,NA,78,NA,0,0,0,1,0,0,1
224,"Octillery",NA,NA,"III",NA,NA,164,NA,0,1,0,1,0,0,2
225,"Delibird",NA,NA,"III",NA,NA,183,NA,0,0,0,0,0,1,1
226,"Mantine",NA,NA,"III",NA,NA,168,NA,0,0,0,0,2,0,2
227,"Skarmory",NA,NA,"III",NA,NA,168,NA,0,0,2,0,0,0,2
228,"Houndour",NA,NA,"III",NA,NA,114,NA,0,0,0,1,0,0,1
229,"Houndoom",NA,NA,"III",NA,NA,204,NA,0,0,0,2,0,0,2
230,"Kingdra",NA,NA,"III",NA,NA,207,NA,0,1,0,1,1,0,3
231,"Phanpy",NA,NA,"III",NA,NA,124,NA,1,0,0,0,0,0,1
232,"Donphan",NA,NA,"III",NA,NA,189,NA,0,1,1,0,0,0,2
233,"Porygon2",NA,NA,"III",NA,NA,180,NA,0,0,0,2,0,0,2
234,"Stantler",NA,NA,"III",NA,NA,165,NA,0,1,0,0,0,0,1
235,"Smeargle",NA,NA,"III",NA,NA,106,NA,0,0,0,0,0,1,1
236,"Tyrogue",NA,NA,"III",NA,NA,91,NA,0,1,0,0,0,0,1
237,"Hitmontop",NA,NA,"III",NA,NA,138,NA,0,0,0,0,2,0,2
238,"Smoochum",NA,NA,"III",NA,NA,87,NA,0,0,0,1,0,0,1
239,"Elekid",NA,NA,"III",NA,NA,106,NA,0,0,0,0,0,1,1
240,"Magby",NA,NA,"III",NA,NA,117,NA,0,0,0,0,0,1,1
241,"Miltank",NA,NA,"III",NA,NA,200,NA,0,0,2,0,0,0,2
242,"Blissey",NA,NA,"III",NA,NA,255,NA,2,0,0,0,0,0,2
243,"Raikou",NA,NA,"III",NA,NA,216,NA,0,0,0,1,0,2,3
244,"Entei",NA,NA,"III",NA,NA,217,NA,1,2,0,0,0,0,3
245,"Suicune",NA,NA,"III",NA,NA,215,NA,0,0,1,0,2,0,3
246,"Larvitar",NA,NA,"III",NA,NA,67,NA,0,1,0,0,0,0,1
247,"Pupitar",NA,NA,"III",NA,NA,144,NA,0,2,0,0,0,0,2
248,"Tyranitar",NA,NA,"III",NA,NA,218,NA,0,3,0,0,0,0,3
249,"Lugia",NA,NA,"III",NA,NA,220,NA,0,0,0,0,3,0,3
250,"Ho-Oh",NA,NA,"III",NA,NA,220,NA,0,0,0,0,3,0,3
251,"Celebi",NA,NA,"III",NA,NA,64,NA,3,0,0,0,0,0,3
252,"Treecko",NA,NA,"III",NA,NA,65,NA,0,0,0,0,0,1,1
253,"Grovyle",NA,NA,"III",NA,NA,141,NA,0,0,0,0,0,2,2
254,"Sceptile",NA,NA,"III",NA,NA,208,NA,0,0,0,0,0,3,3
255,"Torchic",NA,NA,"III",NA,NA,65,NA,0,0,0,1,0,0,1
256,"Combusken",NA,NA,"III",NA,NA,142,NA,0,1,0,1,0,0,2
257,"Blaziken",NA,NA,"III",NA,NA,209,NA,0,3,0,0,0,0,3
258,"Mudkip",NA,NA,"III",NA,NA,65,NA,0,1,0,0,0,0,1
259,"Marshtomp",NA,NA,"III",NA,NA,143,NA,0,2,0,0,0,0,2
260,"Swampert",NA,NA,"III",NA,NA,210,NA,0,3,0,0,0,0,3
261,"Poochyena",NA,NA,"III",NA,NA,55,NA,0,1,0,0,0,0,1
262,"Mightyena",NA,NA,"III",NA,NA,128,NA,0,2,0,0,0,0,2
263,"Zigzagoon",NA,NA,"III",NA,NA,60,NA,0,0,0,0,0,1,1
263,"Zigzagoon",NA,NA,"III",NA,NA,60,NA,0,0,0,0,0,1,1
264,"Linoone",NA,NA,"III",NA,NA,128,NA,0,0,0,0,0,2,2
264,"Linoone",NA,NA,"III",NA,NA,128,NA,0,0,0,0,0,2,2
265,"Wurmple",NA,NA,"III",NA,NA,54,NA,1,0,0,0,0,0,1
266,"Silcoon",NA,NA,"III",NA,NA,71,NA,0,0,2,0,0,0,2
267,"Beautifly",NA,NA,"III",NA,NA,161,NA,0,0,0,3,0,0,3
268,"Cascoon",NA,NA,"III",NA,NA,72,NA,0,0,2,0,0,0,2
269,"Dustox",NA,NA,"III",NA,NA,160,NA,0,0,0,0,3,0,3
270,"Lotad",NA,NA,"III",NA,NA,74,NA,0,0,0,0,1,0,1
271,"Lombre",NA,NA,"III",NA,NA,141,NA,0,0,0,0,2,0,2
272,"Ludicolo",NA,NA,"III",NA,NA,181,NA,0,0,0,0,3,0,3
273,"Seedot",NA,NA,"III",NA,NA,74,NA,0,0,1,0,0,0,1
274,"Nuzleaf",NA,NA,"III",NA,NA,141,NA,0,2,0,0,0,0,2
275,"Shiftry",NA,NA,"III",NA,NA,181,NA,0,3,0,0,0,0,3
276,"Taillow",NA,NA,"III",NA,NA,59,NA,0,0,0,0,0,1,1
277,"Swellow",NA,NA,"III",NA,NA,162,NA,0,0,0,0,0,2,2
278,"Wingull",NA,NA,"III",NA,NA,64,NA,0,0,0,0,0,1,1
279,"Pelipper",NA,NA,"III",NA,NA,164,NA,0,0,2,0,0,0,2
280,"Ralts",NA,NA,"III",NA,NA,70,NA,0,0,0,1,0,0,1
